,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'ask': 24908.0, 'lastTraded': None, 'bid': 24906.4}","{'ask': 24913.0, 'lastTraded': None, 'bid': 24911.4}",4293,"{'ask': 24859.0, 'lastTraded': None, 'bid': 24857.4}","{'ask': 24859.0, 'lastTraded': None, 'bid': 24857.4}",2019:01:31-00:00:00,24858.2,24858.2,24912.2,24907.2
1,"{'ask': 24908.0, 'lastTraded': None, 'bid': 24906.4}","{'ask': 24915.0, 'lastTraded': None, 'bid': 24913.4}",1694,"{'ask': 24893.0, 'lastTraded': None, 'bid': 24891.4}","{'ask': 24910.0, 'lastTraded': None, 'bid': 24908.4}",2019:01:31-00:05:00,24909.2,24892.2,24914.2,24907.2
2,"{'ask': 24921.0, 'lastTraded': None, 'bid': 24919.4}","{'ask': 24923.0, 'lastTraded': None, 'bid': 24921.4}",2044,"{'ask': 24901.0, 'lastTraded': None, 'bid': 24899.4}","{'ask': 24910.0, 'lastTraded': None, 'bid': 24908.4}",2019:01:31-00:10:00,24909.2,24900.2,24922.2,24920.2
3,"{'ask': 24916.0, 'lastTraded': None, 'bid': 24914.4}","{'ask': 24927.0, 'lastTraded': None, 'bid': 24925.4}",1546,"{'ask': 24910.5, 'lastTraded': None, 'bid': 24908.9}","{'ask': 24922.0, 'lastTraded': None, 'bid': 24920.4}",2019:01:31-00:15:00,24921.2,24909.7,24926.2,24915.2
4,"{'ask': 24925.0, 'lastTraded': None, 'bid': 24923.4}","{'ask': 24931.0, 'lastTraded': None, 'bid': 24929.4}",1427,"{'ask': 24913.0, 'lastTraded': None, 'bid': 24911.4}","{'ask': 24917.5, 'lastTraded': None, 'bid': 24915.9}",2019:01:31-00:20:00,24916.7,24912.2,24930.2,24924.2
5,"{'ask': 24908.0, 'lastTraded': None, 'bid': 24906.4}","{'ask': 24929.0, 'lastTraded': None, 'bid': 24927.4}",2067,"{'ask': 24899.0, 'lastTraded': None, 'bid': 24897.4}","{'ask': 24925.5, 'lastTraded': None, 'bid': 24923.9}",2019:01:31-00:25:00,24924.7,24898.2,24928.2,24907.2
6,"{'ask': 24909.0, 'lastTraded': None, 'bid': 24907.4}","{'ask': 24912.0, 'lastTraded': None, 'bid': 24910.4}",1392,"{'ask': 24894.0, 'lastTraded': None, 'bid': 24892.4}","{'ask': 24907.5, 'lastTraded': None, 'bid': 24905.9}",2019:01:31-00:30:00,24906.7,24893.2,24911.2,24908.2
7,"{'ask': 24893.0, 'lastTraded': None, 'bid': 24891.4}","{'ask': 24910.0, 'lastTraded': None, 'bid': 24908.4}",1418,"{'ask': 24882.0, 'lastTraded': None, 'bid': 24880.4}","{'ask': 24909.5, 'lastTraded': None, 'bid': 24907.9}",2019:01:31-00:35:00,24908.7,24881.2,24909.2,24892.2
8,"{'ask': 24912.5, 'lastTraded': None, 'bid': 24910.9}","{'ask': 24914.0, 'lastTraded': None, 'bid': 24912.4}",1539,"{'ask': 24894.0, 'lastTraded': None, 'bid': 24892.4}","{'ask': 24894.0, 'lastTraded': None, 'bid': 24892.4}",2019:01:31-00:40:00,24893.2,24893.2,24913.2,24911.7
9,"{'ask': 24914.5, 'lastTraded': None, 'bid': 24912.9}","{'ask': 24923.0, 'lastTraded': None, 'bid': 24921.4}",1645,"{'ask': 24910.5, 'lastTraded': None, 'bid': 24908.9}","{'ask': 24913.0, 'lastTraded': None, 'bid': 24911.4}",2019:01:31-00:45:00,24912.2,24909.7,24922.2,24913.7
