,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'lastTraded': None, 'bid': 25944.7, 'ask': 25946.3}","{'lastTraded': None, 'bid': 25959.2, 'ask': 25960.8}",2149,"{'lastTraded': None, 'bid': 25933.7, 'ask': 25935.3}","{'lastTraded': None, 'bid': 25939.7, 'ask': 25941.3}",2019:03:01-00:00:00,25940.5,25934.5,25960.0,25945.5
1,"{'lastTraded': None, 'bid': 25926.7, 'ask': 25928.3}","{'lastTraded': None, 'bid': 25945.2, 'ask': 25946.8}",2143,"{'lastTraded': None, 'bid': 25914.2, 'ask': 25915.8}","{'lastTraded': None, 'bid': 25944.2, 'ask': 25945.8}",2019:03:01-00:05:00,25945.0,25915.0,25946.0,25927.5
2,"{'lastTraded': None, 'bid': 25932.7, 'ask': 25934.3}","{'lastTraded': None, 'bid': 25936.7, 'ask': 25938.3}",1788,"{'lastTraded': None, 'bid': 25916.7, 'ask': 25918.3}","{'lastTraded': None, 'bid': 25927.7, 'ask': 25929.3}",2019:03:01-00:10:00,25928.5,25917.5,25937.5,25933.5
3,"{'lastTraded': None, 'bid': 25955.7, 'ask': 25957.3}","{'lastTraded': None, 'bid': 25955.7, 'ask': 25957.3}",1349,"{'lastTraded': None, 'bid': 25926.2, 'ask': 25927.8}","{'lastTraded': None, 'bid': 25932.2, 'ask': 25933.8}",2019:03:01-00:15:00,25933.0,25927.0,25956.5,25956.5
4,"{'lastTraded': None, 'bid': 25960.7, 'ask': 25962.3}","{'lastTraded': None, 'bid': 25968.7, 'ask': 25970.3}",1647,"{'lastTraded': None, 'bid': 25949.7, 'ask': 25951.3}","{'lastTraded': None, 'bid': 25955.2, 'ask': 25956.8}",2019:03:01-00:20:00,25956.0,25950.5,25969.5,25961.5
5,"{'lastTraded': None, 'bid': 25947.2, 'ask': 25948.8}","{'lastTraded': None, 'bid': 25973.7, 'ask': 25975.3}",1373,"{'lastTraded': None, 'bid': 25946.7, 'ask': 25948.3}","{'lastTraded': None, 'bid': 25961.2, 'ask': 25962.8}",2019:03:01-00:25:00,25962.0,25947.5,25974.5,25948.0
6,"{'lastTraded': None, 'bid': 25965.2, 'ask': 25966.8}","{'lastTraded': None, 'bid': 25968.2, 'ask': 25969.8}",2008,"{'lastTraded': None, 'bid': 25942.7, 'ask': 25944.3}","{'lastTraded': None, 'bid': 25947.7, 'ask': 25949.3}",2019:03:01-00:30:00,25948.5,25943.5,25969.0,25966.0
7,"{'lastTraded': None, 'bid': 25969.7, 'ask': 25971.3}","{'lastTraded': None, 'bid': 25970.7, 'ask': 25972.3}",1508,"{'lastTraded': None, 'bid': 25957.7, 'ask': 25959.3}","{'lastTraded': None, 'bid': 25965.7, 'ask': 25967.3}",2019:03:01-00:35:00,25966.5,25958.5,25971.5,25970.5
8,"{'lastTraded': None, 'bid': 25964.7, 'ask': 25966.3}","{'lastTraded': None, 'bid': 25982.7, 'ask': 25984.3}",1696,"{'lastTraded': None, 'bid': 25964.7, 'ask': 25966.3}","{'lastTraded': None, 'bid': 25970.7, 'ask': 25972.3}",2019:03:01-00:40:00,25971.5,25965.5,25983.5,25965.5
9,"{'lastTraded': None, 'bid': 25964.7, 'ask': 25966.3}","{'lastTraded': None, 'bid': 25980.7, 'ask': 25982.3}",1096,"{'lastTraded': None, 'bid': 25963.7, 'ask': 25965.3}","{'lastTraded': None, 'bid': 25965.7, 'ask': 25967.3}",2019:03:01-00:45:00,25966.5,25964.5,25981.5,25965.5
10,"{'lastTraded': None, 'bid': 25963.7, 'ask': 25965.3}","{'lastTraded': None, 'bid': 25975.7, 'ask': 25977.3}",1589,"{'lastTraded': None, 'bid': 25954.7, 'ask': 25956.3}","{'lastTraded': None, 'bid': 25965.7, 'ask': 25967.3}",2019:03:01-00:50:00,25966.5,25955.5,25976.5,25964.5
11,"{'lastTraded': None, 'bid': 25957.7, 'ask': 25959.3}","{'lastTraded': None, 'bid': 25971.7, 'ask': 25973.3}",1027,"{'lastTraded': None, 'bid': 25954.7, 'ask': 25956.3}","{'lastTraded': None, 'bid': 25964.7, 'ask': 25966.3}",2019:03:01-00:55:00,25965.5,25955.5,25972.5,25958.5
12,"{'lastTraded': None, 'bid': 25954.7, 'ask': 25956.3}","{'lastTraded': None, 'bid': 25960.7, 'ask': 25962.3}",1254,"{'lastTraded': None, 'bid': 25947.7, 'ask': 25949.3}","{'lastTraded': None, 'bid': 25958.2, 'ask': 25959.8}",2019:03:01-01:00:00,25959.0,25948.5,25961.5,25955.5
13,"{'lastTraded': None, 'bid': 25950.2, 'ask': 25951.8}","{'lastTraded': None, 'bid': 25963.2, 'ask': 25964.8}",726,"{'lastTraded': None, 'bid': 25949.7, 'ask': 25951.3}","{'lastTraded': None, 'bid': 25954.2, 'ask': 25955.8}",2019:03:01-01:05:00,25955.0,25950.5,25964.0,25951.0
14,"{'lastTraded': None, 'bid': 25953.2, 'ask': 25954.8}","{'lastTraded': None, 'bid': 25963.7, 'ask': 25965.3}",721,"{'lastTraded': None, 'bid': 25948.7, 'ask': 25950.3}","{'lastTraded': None, 'bid': 25949.7, 'ask': 25951.3}",2019:03:01-01:10:00,25950.5,25949.5,25964.5,25954.0
15,"{'lastTraded': None, 'bid': 25968.2, 'ask': 25969.8}","{'lastTraded': None, 'bid': 25970.7, 'ask': 25972.3}",927,"{'lastTraded': None, 'bid': 25949.2, 'ask': 25950.8}","{'lastTraded': None, 'bid': 25952.7, 'ask': 25954.3}",2019:03:01-01:15:00,25953.5,25950.0,25971.5,25969.0
16,"{'lastTraded': None, 'bid': 25986.2, 'ask': 25987.8}","{'lastTraded': None, 'bid': 25986.7, 'ask': 25988.3}",1338,"{'lastTraded': None, 'bid': 25967.7, 'ask': 25969.3}","{'lastTraded': None, 'bid': 25967.7, 'ask': 25969.3}",2019:03:01-01:20:00,25968.5,25968.5,25987.5,25987.0
17,"{'lastTraded': None, 'bid': 25978.7, 'ask': 25980.3}","{'lastTraded': None, 'bid': 25987.2, 'ask': 25988.8}",799,"{'lastTraded': None, 'bid': 25975.2, 'ask': 25976.8}","{'lastTraded': None, 'bid': 25985.7, 'ask': 25987.3}",2019:03:01-01:25:00,25986.5,25976.0,25988.0,25979.5
18,"{'lastTraded': None, 'bid': 25971.2, 'ask': 25972.8}","{'lastTraded': None, 'bid': 25979.2, 'ask': 25980.8}",617,"{'lastTraded': None, 'bid': 25967.7, 'ask': 25969.3}","{'lastTraded': None, 'bid': 25978.2, 'ask': 25979.8}",2019:03:01-01:30:00,25979.0,25968.5,25980.0,25972.0
19,"{'lastTraded': None, 'bid': 25967.7, 'ask': 25969.3}","{'lastTraded': None, 'bid': 25971.7, 'ask': 25973.3}",663,"{'lastTraded': None, 'bid': 25959.7, 'ask': 25961.3}","{'lastTraded': None, 'bid': 25971.7, 'ask': 25973.3}",2019:03:01-01:35:00,25972.5,25960.5,25972.5,25968.5
20,"{'lastTraded': None, 'bid': 25959.7, 'ask': 25961.3}","{'lastTraded': None, 'bid': 25972.2, 'ask': 25973.8}",746,"{'lastTraded': None, 'bid': 25959.7, 'ask': 25961.3}","{'lastTraded': None, 'bid': 25968.2, 'ask': 25969.8}",2019:03:01-01:40:00,25969.0,25960.5,25973.0,25960.5
21,"{'lastTraded': None, 'bid': 25954.2, 'ask': 25955.8}","{'lastTraded': None, 'bid': 25962.7, 'ask': 25964.3}",592,"{'lastTraded': None, 'bid': 25952.7, 'ask': 25954.3}","{'lastTraded': None, 'bid': 25960.2, 'ask': 25961.8}",2019:03:01-01:45:00,25961.0,25953.5,25963.5,25955.0
22,"{'lastTraded': None, 'bid': 25963.7, 'ask': 25965.3}","{'lastTraded': None, 'bid': 25963.7, 'ask': 25965.3}",613,"{'lastTraded': None, 'bid': 25951.2, 'ask': 25952.8}","{'lastTraded': None, 'bid': 25953.7, 'ask': 25955.3}",2019:03:01-01:50:00,25954.5,25952.0,25964.5,25964.5
23,"{'lastTraded': None, 'bid': 25982.7, 'ask': 25984.3}","{'lastTraded': None, 'bid': 25983.7, 'ask': 25985.3}",792,"{'lastTraded': None, 'bid': 25963.2, 'ask': 25964.8}","{'lastTraded': None, 'bid': 25963.2, 'ask': 25964.8}",2019:03:01-01:55:00,25964.0,25964.0,25984.5,25983.5
24,"{'lastTraded': None, 'bid': 25967.7, 'ask': 25969.3}","{'lastTraded': None, 'bid': 25986.7, 'ask': 25988.3}",834,"{'lastTraded': None, 'bid': 25966.7, 'ask': 25968.3}","{'lastTraded': None, 'bid': 25983.2, 'ask': 25984.8}",2019:03:01-02:00:00,25984.0,25967.5,25987.5,25968.5
25,"{'lastTraded': None, 'bid': 25961.2, 'ask': 25962.8}","{'lastTraded': None, 'bid': 25975.2, 'ask': 25976.8}",558,"{'lastTraded': None, 'bid': 25958.7, 'ask': 25960.3}","{'lastTraded': None, 'bid': 25968.7, 'ask': 25970.3}",2019:03:01-02:05:00,25969.5,25959.5,25976.0,25962.0
26,"{'lastTraded': None, 'bid': 25952.7, 'ask': 25954.3}","{'lastTraded': None, 'bid': 25961.7, 'ask': 25963.3}",959,"{'lastTraded': None, 'bid': 25945.7, 'ask': 25947.3}","{'lastTraded': None, 'bid': 25960.7, 'ask': 25962.3}",2019:03:01-02:10:00,25961.5,25946.5,25962.5,25953.5
27,"{'lastTraded': None, 'bid': 25960.7, 'ask': 25962.3}","{'lastTraded': None, 'bid': 25962.7, 'ask': 25964.3}",846,"{'lastTraded': None, 'bid': 25948.7, 'ask': 25950.3}","{'lastTraded': None, 'bid': 25952.2, 'ask': 25953.8}",2019:03:01-02:15:00,25953.0,25949.5,25963.5,25961.5
