,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'bid': 24569.2, 'lastTraded': None, 'ask': 24570.8}","{'bid': 24577.2, 'lastTraded': None, 'ask': 24578.8}",1879,"{'bid': 24542.2, 'lastTraded': None, 'ask': 24543.8}","{'bid': 24549.2, 'lastTraded': None, 'ask': 24550.8}",2019:01:25-00:00:00,24550.0,24543.0,24578.0,24570.0
1,"{'bid': 24564.2, 'lastTraded': None, 'ask': 24565.8}","{'bid': 24572.2, 'lastTraded': None, 'ask': 24573.8}",1480,"{'bid': 24549.2, 'lastTraded': None, 'ask': 24550.8}","{'bid': 24570.2, 'lastTraded': None, 'ask': 24571.8}",2019:01:25-00:05:00,24571.0,24550.0,24573.0,24565.0
2,"{'bid': 24507.7, 'lastTraded': None, 'ask': 24509.3}","{'bid': 24571.2, 'lastTraded': None, 'ask': 24572.8}",3344,"{'bid': 24490.2, 'lastTraded': None, 'ask': 24491.8}","{'bid': 24565.2, 'lastTraded': None, 'ask': 24566.8}",2019:01:25-00:10:00,24566.0,24491.0,24572.0,24508.5
3,"{'bid': 24504.7, 'lastTraded': None, 'ask': 24506.3}","{'bid': 24532.2, 'lastTraded': None, 'ask': 24533.8}",2082,"{'bid': 24493.2, 'lastTraded': None, 'ask': 24494.8}","{'bid': 24508.2, 'lastTraded': None, 'ask': 24509.8}",2019:01:25-00:15:00,24509.0,24494.0,24533.0,24505.5
4,"{'bid': 24508.7, 'lastTraded': None, 'ask': 24510.3}","{'bid': 24518.2, 'lastTraded': None, 'ask': 24519.8}",1602,"{'bid': 24481.7, 'lastTraded': None, 'ask': 24483.3}","{'bid': 24504.2, 'lastTraded': None, 'ask': 24505.8}",2019:01:25-00:20:00,24505.0,24482.5,24519.0,24509.5
5,"{'bid': 24527.2, 'lastTraded': None, 'ask': 24528.8}","{'bid': 24535.2, 'lastTraded': None, 'ask': 24536.8}",1480,"{'bid': 24504.2, 'lastTraded': None, 'ask': 24505.8}","{'bid': 24509.2, 'lastTraded': None, 'ask': 24510.8}",2019:01:25-00:25:00,24510.0,24505.0,24536.0,24528.0
6,"{'bid': 24529.7, 'lastTraded': None, 'ask': 24531.3}","{'bid': 24540.2, 'lastTraded': None, 'ask': 24541.8}",3346,"{'bid': 24506.2, 'lastTraded': None, 'ask': 24507.8}","{'bid': 24524.2, 'lastTraded': None, 'ask': 24525.8}",2019:01:25-00:30:00,24525.0,24507.0,24541.0,24530.5
7,"{'bid': 24574.2, 'lastTraded': None, 'ask': 24575.8}","{'bid': 24575.7, 'lastTraded': None, 'ask': 24577.3}",2121,"{'bid': 24519.7, 'lastTraded': None, 'ask': 24521.3}","{'bid': 24530.2, 'lastTraded': None, 'ask': 24531.8}",2019:01:25-00:35:00,24531.0,24520.5,24576.5,24575.0
8,"{'bid': 24572.2, 'lastTraded': None, 'ask': 24573.8}","{'bid': 24579.2, 'lastTraded': None, 'ask': 24580.8}",1119,"{'bid': 24567.2, 'lastTraded': None, 'ask': 24568.8}","{'bid': 24573.2, 'lastTraded': None, 'ask': 24574.8}",2019:01:25-00:40:00,24574.0,24568.0,24580.0,24573.0
9,"{'bid': 24595.2, 'lastTraded': None, 'ask': 24596.8}","{'bid': 24611.2, 'lastTraded': None, 'ask': 24612.8}",2288,"{'bid': 24572.7, 'lastTraded': None, 'ask': 24574.3}","{'bid': 24572.7, 'lastTraded': None, 'ask': 24574.3}",2019:01:25-00:45:00,24573.5,24573.5,24612.0,24596.0
10,"{'bid': 24581.2, 'lastTraded': None, 'ask': 24582.8}","{'bid': 24597.2, 'lastTraded': None, 'ask': 24598.8}",1667,"{'bid': 24564.2, 'lastTraded': None, 'ask': 24565.8}","{'bid': 24596.2, 'lastTraded': None, 'ask': 24597.8}",2019:01:25-00:50:00,24597.0,24565.0,24598.0,24582.0
11,"{'bid': 24590.7, 'lastTraded': None, 'ask': 24592.3}","{'bid': 24595.7, 'lastTraded': None, 'ask': 24597.3}",1316,"{'bid': 24573.2, 'lastTraded': None, 'ask': 24574.8}","{'bid': 24580.7, 'lastTraded': None, 'ask': 24582.3}",2019:01:25-00:55:00,24581.5,24574.0,24596.5,24591.5
12,"{'bid': 24566.2, 'lastTraded': None, 'ask': 24567.8}","{'bid': 24593.2, 'lastTraded': None, 'ask': 24594.8}",949,"{'bid': 24565.2, 'lastTraded': None, 'ask': 24566.8}","{'bid': 24590.2, 'lastTraded': None, 'ask': 24591.8}",2019:01:25-01:00:00,24591.0,24566.0,24594.0,24567.0
13,"{'bid': 24555.7, 'lastTraded': None, 'ask': 24557.3}","{'bid': 24568.2, 'lastTraded': None, 'ask': 24569.8}",967,"{'bid': 24546.7, 'lastTraded': None, 'ask': 24548.3}","{'bid': 24565.7, 'lastTraded': None, 'ask': 24567.3}",2019:01:25-01:05:00,24566.5,24547.5,24569.0,24556.5
14,"{'bid': 24539.7, 'lastTraded': None, 'ask': 24541.3}","{'bid': 24557.2, 'lastTraded': None, 'ask': 24558.8}",1624,"{'bid': 24529.7, 'lastTraded': None, 'ask': 24531.3}","{'bid': 24556.2, 'lastTraded': None, 'ask': 24557.8}",2019:01:25-01:10:00,24557.0,24530.5,24558.0,24540.5
15,"{'bid': 24539.7, 'lastTraded': None, 'ask': 24541.3}","{'bid': 24552.2, 'lastTraded': None, 'ask': 24553.8}",733,"{'bid': 24535.2, 'lastTraded': None, 'ask': 24536.8}","{'bid': 24540.2, 'lastTraded': None, 'ask': 24541.8}",2019:01:25-01:15:00,24541.0,24536.0,24553.0,24540.5
16,"{'bid': 24527.7, 'lastTraded': None, 'ask': 24529.3}","{'bid': 24542.7, 'lastTraded': None, 'ask': 24544.3}",1046,"{'bid': 24519.7, 'lastTraded': None, 'ask': 24521.3}","{'bid': 24539.2, 'lastTraded': None, 'ask': 24540.8}",2019:01:25-01:20:00,24540.0,24520.5,24543.5,24528.5
17,"{'bid': 24522.2, 'lastTraded': None, 'ask': 24523.8}","{'bid': 24540.7, 'lastTraded': None, 'ask': 24542.3}",867,"{'bid': 24519.7, 'lastTraded': None, 'ask': 24521.3}","{'bid': 24527.2, 'lastTraded': None, 'ask': 24528.8}",2019:01:25-01:25:00,24528.0,24520.5,24541.5,24523.0
18,"{'bid': 24529.2, 'lastTraded': None, 'ask': 24530.8}","{'bid': 24542.2, 'lastTraded': None, 'ask': 24543.8}",998,"{'bid': 24514.7, 'lastTraded': None, 'ask': 24516.3}","{'bid': 24522.7, 'lastTraded': None, 'ask': 24524.3}",2019:01:25-01:30:00,24523.5,24515.5,24543.0,24530.0
19,"{'bid': 24509.2, 'lastTraded': None, 'ask': 24510.8}","{'bid': 24529.2, 'lastTraded': None, 'ask': 24530.8}",1562,"{'bid': 24496.2, 'lastTraded': None, 'ask': 24497.8}","{'bid': 24528.2, 'lastTraded': None, 'ask': 24529.8}",2019:01:25-01:35:00,24529.0,24497.0,24530.0,24510.0
20,"{'bid': 24510.7, 'lastTraded': None, 'ask': 24512.3}","{'bid': 24512.7, 'lastTraded': None, 'ask': 24514.3}",772,"{'bid': 24502.2, 'lastTraded': None, 'ask': 24503.8}","{'bid': 24508.2, 'lastTraded': None, 'ask': 24509.8}",2019:01:25-01:40:00,24509.0,24503.0,24513.5,24511.5
21,"{'bid': 24500.2, 'lastTraded': None, 'ask': 24501.8}","{'bid': 24520.2, 'lastTraded': None, 'ask': 24521.8}",831,"{'bid': 24500.2, 'lastTraded': None, 'ask': 24501.8}","{'bid': 24511.2, 'lastTraded': None, 'ask': 24512.8}",2019:01:25-01:45:00,24512.0,24501.0,24521.0,24501.0
22,"{'bid': 24484.2, 'lastTraded': None, 'ask': 24485.8}","{'bid': 24501.2, 'lastTraded': None, 'ask': 24502.8}",1677,"{'bid': 24471.2, 'lastTraded': None, 'ask': 24472.8}","{'bid': 24501.2, 'lastTraded': None, 'ask': 24502.8}",2019:01:25-01:50:00,24502.0,24472.0,24502.0,24485.0
23,"{'bid': 24495.2, 'lastTraded': None, 'ask': 24496.8}","{'bid': 24497.2, 'lastTraded': None, 'ask': 24498.8}",862,"{'bid': 24481.7, 'lastTraded': None, 'ask': 24483.3}","{'bid': 24483.7, 'lastTraded': None, 'ask': 24485.3}",2019:01:25-01:55:00,24484.5,24482.5,24498.0,24496.0
24,"{'bid': 24476.2, 'lastTraded': None, 'ask': 24477.8}","{'bid': 24505.2, 'lastTraded': None, 'ask': 24506.8}",1309,"{'bid': 24463.2, 'lastTraded': None, 'ask': 24464.8}","{'bid': 24494.7, 'lastTraded': None, 'ask': 24496.3}",2019:01:25-02:00:00,24495.5,24464.0,24506.0,24477.0
25,"{'bid': 24480.2, 'lastTraded': None, 'ask': 24481.8}","{'bid': 24486.2, 'lastTraded': None, 'ask': 24487.8}",1152,"{'bid': 24471.7, 'lastTraded': None, 'ask': 24473.3}","{'bid': 24475.2, 'lastTraded': None, 'ask': 24476.8}",2019:01:25-02:05:00,24476.0,24472.5,24487.0,24481.0
26,"{'bid': 24446.7, 'lastTraded': None, 'ask': 24448.3}","{'bid': 24479.2, 'lastTraded': None, 'ask': 24480.8}",2863,"{'bid': 24423.2, 'lastTraded': None, 'ask': 24424.8}","{'bid': 24479.2, 'lastTraded': None, 'ask': 24480.8}",2019:01:25-02:10:00,24480.0,24424.0,24480.0,24447.5
27,"{'bid': 24444.7, 'lastTraded': None, 'ask': 24446.3}","{'bid': 24447.7, 'lastTraded': None, 'ask': 24449.3}",1318,"{'bid': 24418.7, 'lastTraded': None, 'ask': 24420.3}","{'bid': 24446.2, 'lastTraded': None, 'ask': 24447.8}",2019:01:25-02:15:00,24447.0,24419.5,24448.5,24445.5
28,"{'bid': 24431.2, 'lastTraded': None, 'ask': 24432.8}","{'bid': 24449.2, 'lastTraded': None, 'ask': 24450.8}",1001,"{'bid': 24428.7, 'lastTraded': None, 'ask': 24430.3}","{'bid': 24445.7, 'lastTraded': None, 'ask': 24447.3}",2019:01:25-02:20:00,24446.5,24429.5,24450.0,24432.0
29,"{'bid': 24441.2, 'lastTraded': None, 'ask': 24442.8}","{'bid': 24451.2, 'lastTraded': None, 'ask': 24452.8}",1169,"{'bid': 24420.2, 'lastTraded': None, 'ask': 24421.8}","{'bid': 24431.7, 'lastTraded': None, 'ask': 24433.3}",2019:01:25-02:25:00,24432.5,24421.0,24452.0,24442.0
