,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'ask': 22965.9, 'lastTraded': None, 'bid': 22964.3}","{'ask': 23036.4, 'lastTraded': None, 'bid': 23034.8}",4321,"{'ask': 22955.4, 'lastTraded': None, 'bid': 22953.8}","{'ask': 23032.4, 'lastTraded': None, 'bid': 23030.8}",2018:12:22-00:00:00,23031.6,22954.6,23035.6,22965.1
1,"{'ask': 22848.4, 'lastTraded': None, 'bid': 22846.8}","{'ask': 22994.4, 'lastTraded': None, 'bid': 22992.8}",6992,"{'ask': 22837.4, 'lastTraded': None, 'bid': 22835.8}","{'ask': 22964.4, 'lastTraded': None, 'bid': 22962.8}",2018:12:22-00:05:00,22963.6,22836.6,22993.6,22847.6
2,"{'ask': 22877.4, 'lastTraded': None, 'bid': 22875.8}","{'ask': 22908.4, 'lastTraded': None, 'bid': 22906.8}",3889,"{'ask': 22843.4, 'lastTraded': None, 'bid': 22841.8}","{'ask': 22847.9, 'lastTraded': None, 'bid': 22846.3}",2018:12:22-00:10:00,22847.1,22842.6,22907.6,22876.6
3,"{'ask': 22922.9, 'lastTraded': None, 'bid': 22921.3}","{'ask': 22931.4, 'lastTraded': None, 'bid': 22929.8}",3200,"{'ask': 22871.9, 'lastTraded': None, 'bid': 22870.3}","{'ask': 22879.4, 'lastTraded': None, 'bid': 22877.8}",2018:12:22-00:15:00,22878.6,22871.1,22930.6,22922.1
4,"{'ask': 22954.9, 'lastTraded': None, 'bid': 22953.3}","{'ask': 22961.9, 'lastTraded': None, 'bid': 22960.3}",2988,"{'ask': 22914.4, 'lastTraded': None, 'bid': 22912.8}","{'ask': 22923.4, 'lastTraded': None, 'bid': 22921.8}",2018:12:22-00:20:00,22922.6,22913.6,22961.1,22954.1
5,"{'ask': 23014.9, 'lastTraded': None, 'bid': 23013.3}","{'ask': 23018.4, 'lastTraded': None, 'bid': 23016.8}",3699,"{'ask': 22918.9, 'lastTraded': None, 'bid': 22917.3}","{'ask': 22954.4, 'lastTraded': None, 'bid': 22952.8}",2018:12:22-00:25:00,22953.6,22918.1,23017.6,23014.1
6,"{'ask': 23006.4, 'lastTraded': None, 'bid': 23004.8}","{'ask': 23039.4, 'lastTraded': None, 'bid': 23037.8}",4483,"{'ask': 22986.9, 'lastTraded': None, 'bid': 22985.3}","{'ask': 23014.4, 'lastTraded': None, 'bid': 23012.8}",2018:12:22-00:30:00,23013.6,22986.1,23038.6,23005.6
7,"{'ask': 22976.4, 'lastTraded': None, 'bid': 22974.8}","{'ask': 23023.9, 'lastTraded': None, 'bid': 23022.3}",3015,"{'ask': 22972.4, 'lastTraded': None, 'bid': 22970.8}","{'ask': 23005.4, 'lastTraded': None, 'bid': 23003.8}",2018:12:22-00:35:00,23004.6,22971.6,23023.1,22975.6
8,"{'ask': 22957.4, 'lastTraded': None, 'bid': 22955.8}","{'ask': 22989.9, 'lastTraded': None, 'bid': 22988.3}",3832,"{'ask': 22935.9, 'lastTraded': None, 'bid': 22934.3}","{'ask': 22975.4, 'lastTraded': None, 'bid': 22973.8}",2018:12:22-00:40:00,22974.6,22935.1,22989.1,22956.6
9,"{'ask': 22886.9, 'lastTraded': None, 'bid': 22885.3}","{'ask': 22966.9, 'lastTraded': None, 'bid': 22965.3}",3682,"{'ask': 22883.4, 'lastTraded': None, 'bid': 22881.8}","{'ask': 22956.9, 'lastTraded': None, 'bid': 22955.3}",2018:12:22-00:45:00,22956.1,22882.6,22966.1,22886.1
10,"{'ask': 22921.4, 'lastTraded': None, 'bid': 22919.8}","{'ask': 22955.9, 'lastTraded': None, 'bid': 22954.3}",3861,"{'ask': 22882.9, 'lastTraded': None, 'bid': 22881.3}","{'ask': 22887.4, 'lastTraded': None, 'bid': 22885.8}",2018:12:22-00:50:00,22886.6,22882.1,22955.1,22920.6
11,"{'ask': 22870.4, 'lastTraded': None, 'bid': 22868.8}","{'ask': 22944.4, 'lastTraded': None, 'bid': 22942.8}",3338,"{'ask': 22850.9, 'lastTraded': None, 'bid': 22849.3}","{'ask': 22921.9, 'lastTraded': None, 'bid': 22920.3}",2018:12:22-00:55:00,22921.1,22850.1,22943.6,22869.6
12,"{'ask': 22887.4, 'lastTraded': None, 'bid': 22885.8}","{'ask': 22903.4, 'lastTraded': None, 'bid': 22901.8}",3736,"{'ask': 22843.9, 'lastTraded': None, 'bid': 22842.3}","{'ask': 22870.9, 'lastTraded': None, 'bid': 22869.3}",2018:12:22-01:00:00,22870.1,22843.1,22902.6,22886.6
13,"{'ask': 22840.4, 'lastTraded': None, 'bid': 22838.8}","{'ask': 22894.4, 'lastTraded': None, 'bid': 22892.8}",4792,"{'ask': 22820.9, 'lastTraded': None, 'bid': 22819.3}","{'ask': 22886.9, 'lastTraded': None, 'bid': 22885.3}",2018:12:22-01:05:00,22886.1,22820.1,22893.6,22839.6
14,"{'ask': 22794.4, 'lastTraded': None, 'bid': 22792.8}","{'ask': 22845.4, 'lastTraded': None, 'bid': 22843.8}",4991,"{'ask': 22786.4, 'lastTraded': None, 'bid': 22784.8}","{'ask': 22840.9, 'lastTraded': None, 'bid': 22839.3}",2018:12:22-01:10:00,22840.1,22785.6,22844.6,22793.6
15,"{'ask': 22768.4, 'lastTraded': None, 'bid': 22766.8}","{'ask': 22825.9, 'lastTraded': None, 'bid': 22824.3}",4354,"{'ask': 22757.4, 'lastTraded': None, 'bid': 22755.8}","{'ask': 22793.9, 'lastTraded': None, 'bid': 22792.3}",2018:12:22-01:15:00,22793.1,22756.6,22825.1,22767.6
16,"{'ask': 22779.4, 'lastTraded': None, 'bid': 22777.8}","{'ask': 22797.9, 'lastTraded': None, 'bid': 22796.3}",4037,"{'ask': 22736.4, 'lastTraded': None, 'bid': 22734.8}","{'ask': 22767.4, 'lastTraded': None, 'bid': 22765.8}",2018:12:22-01:20:00,22766.6,22735.6,22797.1,22778.6
17,"{'ask': 22725.9, 'lastTraded': None, 'bid': 22724.3}","{'ask': 22781.9, 'lastTraded': None, 'bid': 22780.3}",4478,"{'ask': 22713.4, 'lastTraded': None, 'bid': 22711.8}","{'ask': 22778.9, 'lastTraded': None, 'bid': 22777.3}",2018:12:22-01:25:00,22778.1,22712.6,22781.1,22725.1
18,"{'ask': 22745.9, 'lastTraded': None, 'bid': 22744.3}","{'ask': 22755.4, 'lastTraded': None, 'bid': 22753.8}",9488,"{'ask': 22646.9, 'lastTraded': None, 'bid': 22645.3}","{'ask': 22726.4, 'lastTraded': None, 'bid': 22724.8}",2018:12:22-01:30:00,22725.6,22646.1,22754.6,22745.1
19,"{'ask': 22787.4, 'lastTraded': None, 'bid': 22785.8}","{'ask': 22792.9, 'lastTraded': None, 'bid': 22791.3}",3703,"{'ask': 22725.9, 'lastTraded': None, 'bid': 22724.3}","{'ask': 22743.9, 'lastTraded': None, 'bid': 22742.3}",2018:12:22-01:35:00,22743.1,22725.1,22792.1,22786.6
20,"{'ask': 22783.9, 'lastTraded': None, 'bid': 22782.3}","{'ask': 22816.4, 'lastTraded': None, 'bid': 22814.8}",2759,"{'ask': 22760.4, 'lastTraded': None, 'bid': 22758.8}","{'ask': 22786.9, 'lastTraded': None, 'bid': 22785.3}",2018:12:22-01:40:00,22786.1,22759.6,22815.6,22783.1
21,"{'ask': 22796.4, 'lastTraded': None, 'bid': 22794.8}","{'ask': 22850.4, 'lastTraded': None, 'bid': 22848.8}",4409,"{'ask': 22782.4, 'lastTraded': None, 'bid': 22780.8}","{'ask': 22784.4, 'lastTraded': None, 'bid': 22782.8}",2018:12:22-01:45:00,22783.6,22781.6,22849.6,22795.6
22,"{'ask': 22720.4, 'lastTraded': None, 'bid': 22718.8}","{'ask': 22806.4, 'lastTraded': None, 'bid': 22804.8}",3684,"{'ask': 22718.4, 'lastTraded': None, 'bid': 22716.8}","{'ask': 22795.4, 'lastTraded': None, 'bid': 22793.8}",2018:12:22-01:50:00,22794.6,22717.6,22805.6,22719.6
23,"{'ask': 22721.9, 'lastTraded': None, 'bid': 22720.3}","{'ask': 22764.4, 'lastTraded': None, 'bid': 22762.8}",3551,"{'ask': 22691.4, 'lastTraded': None, 'bid': 22689.8}","{'ask': 22718.4, 'lastTraded': None, 'bid': 22716.8}",2018:12:22-01:55:00,22717.6,22690.6,22763.6,22721.1
24,"{'ask': 22723.4, 'lastTraded': None, 'bid': 22721.8}","{'ask': 22761.9, 'lastTraded': None, 'bid': 22760.3}",3272,"{'ask': 22699.4, 'lastTraded': None, 'bid': 22697.8}","{'ask': 22723.4, 'lastTraded': None, 'bid': 22721.8}",2018:12:22-02:00:00,22722.6,22698.6,22761.1,22722.6
25,"{'ask': 22715.4, 'lastTraded': None, 'bid': 22713.8}","{'ask': 22723.9, 'lastTraded': None, 'bid': 22722.3}",3007,"{'ask': 22660.9, 'lastTraded': None, 'bid': 22659.3}","{'ask': 22723.9, 'lastTraded': None, 'bid': 22722.3}",2018:12:22-02:05:00,22723.1,22660.1,22723.1,22714.6
26,"{'ask': 22703.4, 'lastTraded': None, 'bid': 22701.8}","{'ask': 22745.4, 'lastTraded': None, 'bid': 22743.8}",2795,"{'ask': 22667.4, 'lastTraded': None, 'bid': 22665.8}","{'ask': 22714.4, 'lastTraded': None, 'bid': 22712.8}",2018:12:22-02:10:00,22713.6,22666.6,22744.6,22702.6
27,"{'ask': 22699.4, 'lastTraded': None, 'bid': 22697.8}","{'ask': 22733.4, 'lastTraded': None, 'bid': 22731.8}",2117,"{'ask': 22678.4, 'lastTraded': None, 'bid': 22676.8}","{'ask': 22703.9, 'lastTraded': None, 'bid': 22702.3}",2018:12:22-02:15:00,22703.1,22677.6,22732.6,22698.6
28,"{'ask': 22744.4, 'lastTraded': None, 'bid': 22742.8}","{'ask': 22768.4, 'lastTraded': None, 'bid': 22766.8}",3739,"{'ask': 22683.4, 'lastTraded': None, 'bid': 22681.8}","{'ask': 22698.9, 'lastTraded': None, 'bid': 22697.3}",2018:12:22-02:20:00,22698.1,22682.6,22767.6,22743.6
29,"{'ask': 22743.4, 'lastTraded': None, 'bid': 22741.8}","{'ask': 22787.9, 'lastTraded': None, 'bid': 22786.3}",3172,"{'ask': 22720.4, 'lastTraded': None, 'bid': 22718.8}","{'ask': 22742.9, 'lastTraded': None, 'bid': 22741.3}",2018:12:22-02:25:00,22742.1,22719.6,22787.1,22742.6
30,"{'ask': 22797.9, 'lastTraded': None, 'bid': 22796.3}","{'ask': 22801.9, 'lastTraded': None, 'bid': 22800.3}",2914,"{'ask': 22728.4, 'lastTraded': None, 'bid': 22726.8}","{'ask': 22743.9, 'lastTraded': None, 'bid': 22742.3}",2018:12:22-02:30:00,22743.1,22727.6,22801.1,22797.1
31,"{'ask': 22788.4, 'lastTraded': None, 'bid': 22786.8}","{'ask': 22802.9, 'lastTraded': None, 'bid': 22801.3}",3064,"{'ask': 22754.4, 'lastTraded': None, 'bid': 22752.8}","{'ask': 22796.4, 'lastTraded': None, 'bid': 22794.8}",2018:12:22-02:35:00,22795.6,22753.6,22802.1,22787.6
32,"{'ask': 22811.9, 'lastTraded': None, 'bid': 22810.3}","{'ask': 22824.9, 'lastTraded': None, 'bid': 22823.3}",4707,"{'ask': 22764.4, 'lastTraded': None, 'bid': 22762.8}","{'ask': 22788.9, 'lastTraded': None, 'bid': 22787.3}",2018:12:22-02:40:00,22788.1,22763.6,22824.1,22811.1
33,"{'ask': 22729.4, 'lastTraded': None, 'bid': 22727.8}","{'ask': 22814.4, 'lastTraded': None, 'bid': 22812.8}",4134,"{'ask': 22727.4, 'lastTraded': None, 'bid': 22725.8}","{'ask': 22812.4, 'lastTraded': None, 'bid': 22810.8}",2018:12:22-02:45:00,22811.6,22726.6,22813.6,22728.6
