,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'ask': 26176.4, 'bid': 26174.8, 'lastTraded': None}","{'ask': 26188.4, 'bid': 26186.8, 'lastTraded': None}",1436,"{'ask': 26170.4, 'bid': 26168.8, 'lastTraded': None}","{'ask': 26185.4, 'bid': 26183.8, 'lastTraded': None}",2019:04:02-00:00:00,26184.6,26169.6,26187.6,26175.6
1,"{'ask': 26163.9, 'bid': 26162.3, 'lastTraded': None}","{'ask': 26179.9, 'bid': 26178.3, 'lastTraded': None}",993,"{'ask': 26156.4, 'bid': 26154.8, 'lastTraded': None}","{'ask': 26176.9, 'bid': 26175.3, 'lastTraded': None}",2019:04:02-00:05:00,26176.1,26155.6,26179.1,26163.1
2,"{'ask': 26164.9, 'bid': 26163.3, 'lastTraded': None}","{'ask': 26177.4, 'bid': 26175.8, 'lastTraded': None}",1018,"{'ask': 26162.4, 'bid': 26160.8, 'lastTraded': None}","{'ask': 26164.4, 'bid': 26162.8, 'lastTraded': None}",2019:04:02-00:10:00,26163.6,26161.6,26176.6,26164.1
3,"{'ask': 26182.4, 'bid': 26180.8, 'lastTraded': None}","{'ask': 26185.4, 'bid': 26183.8, 'lastTraded': None}",861,"{'ask': 26164.4, 'bid': 26162.8, 'lastTraded': None}","{'ask': 26164.4, 'bid': 26162.8, 'lastTraded': None}",2019:04:02-00:15:00,26163.6,26163.6,26184.6,26181.6
4,"{'ask': 26182.4, 'bid': 26180.8, 'lastTraded': None}","{'ask': 26190.4, 'bid': 26188.8, 'lastTraded': None}",1101,"{'ask': 26178.4, 'bid': 26176.8, 'lastTraded': None}","{'ask': 26182.9, 'bid': 26181.3, 'lastTraded': None}",2019:04:02-00:20:00,26182.1,26177.6,26189.6,26181.6
5,"{'ask': 26182.4, 'bid': 26180.8, 'lastTraded': None}","{'ask': 26183.4, 'bid': 26181.8, 'lastTraded': None}",590,"{'ask': 26173.4, 'bid': 26171.8, 'lastTraded': None}","{'ask': 26181.9, 'bid': 26180.3, 'lastTraded': None}",2019:04:02-00:25:00,26181.1,26172.6,26182.6,26181.6
6,"{'ask': 26187.4, 'bid': 26185.8, 'lastTraded': None}","{'ask': 26190.4, 'bid': 26188.8, 'lastTraded': None}",680,"{'ask': 26180.4, 'bid': 26178.8, 'lastTraded': None}","{'ask': 26181.4, 'bid': 26179.8, 'lastTraded': None}",2019:04:02-00:30:00,26180.6,26179.6,26189.6,26186.6
7,"{'ask': 26183.9, 'bid': 26182.3, 'lastTraded': None}","{'ask': 26189.4, 'bid': 26187.8, 'lastTraded': None}",453,"{'ask': 26178.4, 'bid': 26176.8, 'lastTraded': None}","{'ask': 26188.4, 'bid': 26186.8, 'lastTraded': None}",2019:04:02-00:35:00,26187.6,26177.6,26188.6,26183.1
8,"{'ask': 26185.9, 'bid': 26184.3, 'lastTraded': None}","{'ask': 26190.4, 'bid': 26188.8, 'lastTraded': None}",449,"{'ask': 26181.9, 'bid': 26180.3, 'lastTraded': None}","{'ask': 26183.4, 'bid': 26181.8, 'lastTraded': None}",2019:04:02-00:40:00,26182.6,26181.1,26189.6,26185.1
9,"{'ask': 26191.9, 'bid': 26190.3, 'lastTraded': None}","{'ask': 26194.4, 'bid': 26192.8, 'lastTraded': None}",808,"{'ask': 26185.4, 'bid': 26183.8, 'lastTraded': None}","{'ask': 26185.4, 'bid': 26183.8, 'lastTraded': None}",2019:04:02-00:45:00,26184.6,26184.6,26193.6,26191.1
10,"{'ask': 26187.9, 'bid': 26186.3, 'lastTraded': None}","{'ask': 26193.4, 'bid': 26191.8, 'lastTraded': None}",650,"{'ask': 26179.4, 'bid': 26177.8, 'lastTraded': None}","{'ask': 26192.4, 'bid': 26190.8, 'lastTraded': None}",2019:04:02-00:50:00,26191.6,26178.6,26192.6,26187.1
11,"{'ask': 26197.9, 'bid': 26196.3, 'lastTraded': None}","{'ask': 26198.4, 'bid': 26196.8, 'lastTraded': None}",824,"{'ask': 26183.4, 'bid': 26181.8, 'lastTraded': None}","{'ask': 26188.4, 'bid': 26186.8, 'lastTraded': None}",2019:04:02-00:55:00,26187.6,26182.6,26197.6,26197.1
12,"{'ask': 26197.9, 'bid': 26196.3, 'lastTraded': None}","{'ask': 26202.4, 'bid': 26200.8, 'lastTraded': None}",1216,"{'ask': 26192.4, 'bid': 26190.8, 'lastTraded': None}","{'ask': 26197.4, 'bid': 26195.8, 'lastTraded': None}",2019:04:02-01:00:00,26196.6,26191.6,26201.6,26197.1
13,"{'ask': 26194.9, 'bid': 26193.3, 'lastTraded': None}","{'ask': 26197.4, 'bid': 26195.8, 'lastTraded': None}",770,"{'ask': 26185.4, 'bid': 26183.8, 'lastTraded': None}","{'ask': 26197.4, 'bid': 26195.8, 'lastTraded': None}",2019:04:02-01:05:00,26196.6,26184.6,26196.6,26194.1
14,"{'ask': 26182.9, 'bid': 26181.3, 'lastTraded': None}","{'ask': 26196.4, 'bid': 26194.8, 'lastTraded': None}",677,"{'ask': 26180.4, 'bid': 26178.8, 'lastTraded': None}","{'ask': 26194.4, 'bid': 26192.8, 'lastTraded': None}",2019:04:02-01:10:00,26193.6,26179.6,26195.6,26182.1
15,"{'ask': 26183.9, 'bid': 26182.3, 'lastTraded': None}","{'ask': 26189.4, 'bid': 26187.8, 'lastTraded': None}",594,"{'ask': 26182.4, 'bid': 26180.8, 'lastTraded': None}","{'ask': 26182.4, 'bid': 26180.8, 'lastTraded': None}",2019:04:02-01:15:00,26181.6,26181.6,26188.6,26183.1
16,"{'ask': 26186.9, 'bid': 26185.3, 'lastTraded': None}","{'ask': 26188.9, 'bid': 26187.3, 'lastTraded': None}",947,"{'ask': 26176.4, 'bid': 26174.8, 'lastTraded': None}","{'ask': 26184.4, 'bid': 26182.8, 'lastTraded': None}",2019:04:02-01:20:00,26183.6,26175.6,26188.1,26186.1
17,"{'ask': 26187.9, 'bid': 26186.3, 'lastTraded': None}","{'ask': 26193.4, 'bid': 26191.8, 'lastTraded': None}",900,"{'ask': 26180.4, 'bid': 26178.8, 'lastTraded': None}","{'ask': 26187.4, 'bid': 26185.8, 'lastTraded': None}",2019:04:02-01:25:00,26186.6,26179.6,26192.6,26187.1
18,"{'ask': 26191.4, 'bid': 26189.8, 'lastTraded': None}","{'ask': 26195.4, 'bid': 26193.8, 'lastTraded': None}",456,"{'ask': 26182.4, 'bid': 26180.8, 'lastTraded': None}","{'ask': 26187.4, 'bid': 26185.8, 'lastTraded': None}",2019:04:02-01:30:00,26186.6,26181.6,26194.6,26190.6
19,"{'ask': 26196.4, 'bid': 26194.8, 'lastTraded': None}","{'ask': 26197.4, 'bid': 26195.8, 'lastTraded': None}",470,"{'ask': 26187.4, 'bid': 26185.8, 'lastTraded': None}","{'ask': 26190.9, 'bid': 26189.3, 'lastTraded': None}",2019:04:02-01:35:00,26190.1,26186.6,26196.6,26195.6
20,"{'ask': 26190.9, 'bid': 26189.3, 'lastTraded': None}","{'ask': 26200.4, 'bid': 26198.8, 'lastTraded': None}",461,"{'ask': 26189.4, 'bid': 26187.8, 'lastTraded': None}","{'ask': 26198.4, 'bid': 26196.8, 'lastTraded': None}",2019:04:02-01:40:00,26197.6,26188.6,26199.6,26190.1
21,"{'ask': 26194.4, 'bid': 26192.8, 'lastTraded': None}","{'ask': 26205.4, 'bid': 26203.8, 'lastTraded': None}",749,"{'ask': 26189.4, 'bid': 26187.8, 'lastTraded': None}","{'ask': 26191.4, 'bid': 26189.8, 'lastTraded': None}",2019:04:02-01:45:00,26190.6,26188.6,26204.6,26193.6
22,"{'ask': 26197.4, 'bid': 26195.8, 'lastTraded': None}","{'ask': 26204.4, 'bid': 26202.8, 'lastTraded': None}",681,"{'ask': 26194.4, 'bid': 26192.8, 'lastTraded': None}","{'ask': 26194.9, 'bid': 26193.3, 'lastTraded': None}",2019:04:02-01:50:00,26194.1,26193.6,26203.6,26196.6
