,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'bid': 25414.4, 'ask': 25416.0, 'lastTraded': None}","{'bid': 25443.9, 'ask': 25445.5, 'lastTraded': None}",3925,"{'bid': 25407.0, 'ask': 25408.6, 'lastTraded': None}","{'bid': 25425.5, 'ask': 25427.1, 'lastTraded': None}",2019:03:08-00:00:00,25426.3,25407.8,25444.7,25415.2
1,"{'bid': 25425.4, 'ask': 25427.0, 'lastTraded': None}","{'bid': 25425.9, 'ask': 25427.5, 'lastTraded': None}",2389,"{'bid': 25401.4, 'ask': 25403.0, 'lastTraded': None}","{'bid': 25415.4, 'ask': 25417.0, 'lastTraded': None}",2019:03:08-00:05:00,25416.2,25402.2,25426.7,25426.2
2,"{'bid': 25437.9, 'ask': 25439.5, 'lastTraded': None}","{'bid': 25437.9, 'ask': 25439.5, 'lastTraded': None}",2077,"{'bid': 25415.4, 'ask': 25417.0, 'lastTraded': None}","{'bid': 25427.4, 'ask': 25429.0, 'lastTraded': None}",2019:03:08-00:10:00,25428.2,25416.2,25438.7,25438.7
3,"{'bid': 25406.4, 'ask': 25408.0, 'lastTraded': None}","{'bid': 25439.4, 'ask': 25441.0, 'lastTraded': None}",3141,"{'bid': 25391.4, 'ask': 25393.0, 'lastTraded': None}","{'bid': 25438.4, 'ask': 25440.0, 'lastTraded': None}",2019:03:08-00:15:00,25439.2,25392.2,25440.2,25407.2
4,"{'bid': 25407.9, 'ask': 25409.5, 'lastTraded': None}","{'bid': 25411.4, 'ask': 25413.0, 'lastTraded': None}",2228,"{'bid': 25388.4, 'ask': 25390.0, 'lastTraded': None}","{'bid': 25405.9, 'ask': 25407.5, 'lastTraded': None}",2019:03:08-00:20:00,25406.7,25389.2,25412.2,25408.7
5,"{'bid': 25436.4, 'ask': 25438.0, 'lastTraded': None}","{'bid': 25442.4, 'ask': 25444.0, 'lastTraded': None}",2279,"{'bid': 25407.9, 'ask': 25409.5, 'lastTraded': None}","{'bid': 25408.4, 'ask': 25410.0, 'lastTraded': None}",2019:03:08-00:25:00,25409.2,25408.7,25443.2,25437.2
6,"{'bid': 25467.4, 'ask': 25469.0, 'lastTraded': None}","{'bid': 25477.4, 'ask': 25479.0, 'lastTraded': None}",5274,"{'bid': 25435.4, 'ask': 25437.0, 'lastTraded': None}","{'bid': 25435.4, 'ask': 25437.0, 'lastTraded': None}",2019:03:08-00:30:00,25436.2,25436.2,25478.2,25468.2
7,"{'bid': 25470.4, 'ask': 25472.0, 'lastTraded': None}","{'bid': 25482.4, 'ask': 25484.0, 'lastTraded': None}",3020,"{'bid': 25465.4, 'ask': 25467.0, 'lastTraded': None}","{'bid': 25469.4, 'ask': 25471.0, 'lastTraded': None}",2019:03:08-00:35:00,25470.2,25466.2,25483.2,25471.2
8,"{'bid': 25482.4, 'ask': 25484.0, 'lastTraded': None}","{'bid': 25485.4, 'ask': 25487.0, 'lastTraded': None}",2001,"{'bid': 25460.9, 'ask': 25462.5, 'lastTraded': None}","{'bid': 25469.9, 'ask': 25471.5, 'lastTraded': None}",2019:03:08-00:40:00,25470.7,25461.7,25486.2,25483.2
9,"{'bid': 25471.4, 'ask': 25473.0, 'lastTraded': None}","{'bid': 25491.4, 'ask': 25493.0, 'lastTraded': None}",2211,"{'bid': 25469.4, 'ask': 25471.0, 'lastTraded': None}","{'bid': 25481.9, 'ask': 25483.5, 'lastTraded': None}",2019:03:08-00:45:00,25482.7,25470.2,25492.2,25472.2
