,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'lastTraded': None, 'bid': 25811.6, 'ask': 25813.2}","{'lastTraded': None, 'bid': 25826.1, 'ask': 25827.7}",1634,"{'lastTraded': None, 'bid': 25802.6, 'ask': 25804.2}","{'lastTraded': None, 'bid': 25813.6, 'ask': 25815.2}",2019:03:19-00:00:00,25814.4,25803.4,25826.9,25812.4
1,"{'lastTraded': None, 'bid': 25812.1, 'ask': 25813.7}","{'lastTraded': None, 'bid': 25819.6, 'ask': 25821.2}",1140,"{'lastTraded': None, 'bid': 25804.1, 'ask': 25805.7}","{'lastTraded': None, 'bid': 25811.1, 'ask': 25812.7}",2019:03:19-00:05:00,25811.9,25804.9,25820.4,25812.9
2,"{'lastTraded': None, 'bid': 25825.1, 'ask': 25826.7}","{'lastTraded': None, 'bid': 25827.1, 'ask': 25828.7}",933,"{'lastTraded': None, 'bid': 25807.1, 'ask': 25808.7}","{'lastTraded': None, 'bid': 25811.6, 'ask': 25813.2}",2019:03:19-00:10:00,25812.4,25807.9,25827.9,25825.9
3,"{'lastTraded': None, 'bid': 25822.1, 'ask': 25823.7}","{'lastTraded': None, 'bid': 25831.1, 'ask': 25832.7}",1144,"{'lastTraded': None, 'bid': 25819.6, 'ask': 25821.2}","{'lastTraded': None, 'bid': 25824.6, 'ask': 25826.2}",2019:03:19-00:15:00,25825.4,25820.4,25831.9,25822.9
4,"{'lastTraded': None, 'bid': 25830.6, 'ask': 25832.2}","{'lastTraded': None, 'bid': 25840.1, 'ask': 25841.7}",1213,"{'lastTraded': None, 'bid': 25815.1, 'ask': 25816.7}","{'lastTraded': None, 'bid': 25821.6, 'ask': 25823.2}",2019:03:19-00:20:00,25822.4,25815.9,25840.9,25831.4
5,"{'lastTraded': None, 'bid': 25839.1, 'ask': 25840.7}","{'lastTraded': None, 'bid': 25845.1, 'ask': 25846.7}",710,"{'lastTraded': None, 'bid': 25830.1, 'ask': 25831.7}","{'lastTraded': None, 'bid': 25831.1, 'ask': 25832.7}",2019:03:19-00:25:00,25831.9,25830.9,25845.9,25839.9
6,"{'lastTraded': None, 'bid': 25817.1, 'ask': 25818.7}","{'lastTraded': None, 'bid': 25840.1, 'ask': 25841.7}",1011,"{'lastTraded': None, 'bid': 25811.1, 'ask': 25812.7}","{'lastTraded': None, 'bid': 25840.1, 'ask': 25841.7}",2019:03:19-00:30:00,25840.9,25811.9,25840.9,25817.9
7,"{'lastTraded': None, 'bid': 25838.1, 'ask': 25839.7}","{'lastTraded': None, 'bid': 25839.6, 'ask': 25841.2}",1616,"{'lastTraded': None, 'bid': 25816.6, 'ask': 25818.2}","{'lastTraded': None, 'bid': 25818.1, 'ask': 25819.7}",2019:03:19-00:35:00,25818.9,25817.4,25840.4,25838.9
8,"{'lastTraded': None, 'bid': 25840.1, 'ask': 25841.7}","{'lastTraded': None, 'bid': 25844.1, 'ask': 25845.7}",1735,"{'lastTraded': None, 'bid': 25835.1, 'ask': 25836.7}","{'lastTraded': None, 'bid': 25837.6, 'ask': 25839.2}",2019:03:19-00:40:00,25838.4,25835.9,25844.9,25840.9
9,"{'lastTraded': None, 'bid': 25848.6, 'ask': 25850.2}","{'lastTraded': None, 'bid': 25852.1, 'ask': 25853.7}",906,"{'lastTraded': None, 'bid': 25840.1, 'ask': 25841.7}","{'lastTraded': None, 'bid': 25841.1, 'ask': 25842.7}",2019:03:19-00:45:00,25841.9,25840.9,25852.9,25849.4
