,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'ask': 21821.2, 'lastTraded': None, 'bid': 21819.6}","{'ask': 21826.2, 'lastTraded': None, 'bid': 21824.6}",3409,"{'ask': 21725.2, 'lastTraded': None, 'bid': 21723.6}","{'ask': 21730.7, 'lastTraded': None, 'bid': 21729.1}",2018:12:27-00:00:00,21729.9,21724.4,21825.4,21820.4
1,"{'ask': 21813.7, 'lastTraded': None, 'bid': 21812.1}","{'ask': 21849.2, 'lastTraded': None, 'bid': 21847.6}",4078,"{'ask': 21774.2, 'lastTraded': None, 'bid': 21772.6}","{'ask': 21820.7, 'lastTraded': None, 'bid': 21819.1}",2018:12:27-00:05:00,21819.9,21773.4,21848.4,21812.9
2,"{'ask': 21830.2, 'lastTraded': None, 'bid': 21828.6}","{'ask': 21844.2, 'lastTraded': None, 'bid': 21842.6}",2956,"{'ask': 21809.7, 'lastTraded': None, 'bid': 21808.1}","{'ask': 21813.2, 'lastTraded': None, 'bid': 21811.6}",2018:12:27-00:10:00,21812.4,21808.9,21843.4,21829.4
3,"{'ask': 21925.7, 'lastTraded': None, 'bid': 21924.1}","{'ask': 21937.7, 'lastTraded': None, 'bid': 21936.1}",4555,"{'ask': 21825.2, 'lastTraded': None, 'bid': 21823.6}","{'ask': 21829.7, 'lastTraded': None, 'bid': 21828.1}",2018:12:27-00:15:00,21828.9,21824.4,21936.9,21924.9
4,"{'ask': 21913.2, 'lastTraded': None, 'bid': 21911.6}","{'ask': 21938.2, 'lastTraded': None, 'bid': 21936.6}",2420,"{'ask': 21901.2, 'lastTraded': None, 'bid': 21899.6}","{'ask': 21926.2, 'lastTraded': None, 'bid': 21924.6}",2018:12:27-00:20:00,21925.4,21900.4,21937.4,21912.4
5,"{'ask': 21966.2, 'lastTraded': None, 'bid': 21964.6}","{'ask': 21980.2, 'lastTraded': None, 'bid': 21978.6}",2849,"{'ask': 21910.2, 'lastTraded': None, 'bid': 21908.6}","{'ask': 21913.7, 'lastTraded': None, 'bid': 21912.1}",2018:12:27-00:25:00,21912.9,21909.4,21979.4,21965.4
6,"{'ask': 21940.7, 'lastTraded': None, 'bid': 21939.1}","{'ask': 21973.7, 'lastTraded': None, 'bid': 21972.1}",2280,"{'ask': 21933.7, 'lastTraded': None, 'bid': 21932.1}","{'ask': 21965.2, 'lastTraded': None, 'bid': 21963.6}",2018:12:27-00:30:00,21964.4,21932.9,21972.9,21939.9
7,"{'ask': 22002.7, 'lastTraded': None, 'bid': 22001.1}","{'ask': 22008.2, 'lastTraded': None, 'bid': 22006.6}",3127,"{'ask': 21926.2, 'lastTraded': None, 'bid': 21924.6}","{'ask': 21941.2, 'lastTraded': None, 'bid': 21939.6}",2018:12:27-00:35:00,21940.4,21925.4,22007.4,22001.9
8,"{'ask': 22033.7, 'lastTraded': None, 'bid': 22032.1}","{'ask': 22052.2, 'lastTraded': None, 'bid': 22050.6}",4339,"{'ask': 21993.7, 'lastTraded': None, 'bid': 21992.1}","{'ask': 22004.2, 'lastTraded': None, 'bid': 22002.6}",2018:12:27-00:40:00,22003.4,21992.9,22051.4,22032.9
9,"{'ask': 22052.7, 'lastTraded': None, 'bid': 22051.1}","{'ask': 22061.2, 'lastTraded': None, 'bid': 22059.6}",2458,"{'ask': 22016.2, 'lastTraded': None, 'bid': 22014.6}","{'ask': 22034.2, 'lastTraded': None, 'bid': 22032.6}",2018:12:27-00:45:00,22033.4,22015.4,22060.4,22051.9
