,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'bid': 24697.1, 'lastTraded': None, 'ask': 24700.9}","{'bid': 24719.6, 'lastTraded': None, 'ask': 24723.4}",367,"{'bid': 24692.6, 'lastTraded': None, 'ask': 24696.4}","{'bid': 24717.1, 'lastTraded': None, 'ask': 24720.9}",2019:01:21-07:00:00,24719.0,24694.5,24721.5,24699.0
1,"{'bid': 24709.1, 'lastTraded': None, 'ask': 24712.9}","{'bid': 24713.6, 'lastTraded': None, 'ask': 24717.4}",157,"{'bid': 24697.6, 'lastTraded': None, 'ask': 24701.4}","{'bid': 24700.6, 'lastTraded': None, 'ask': 24704.4}",2019:01:21-07:05:00,24702.5,24699.5,24715.5,24711.0
2,"{'bid': 24701.1, 'lastTraded': None, 'ask': 24704.9}","{'bid': 24710.6, 'lastTraded': None, 'ask': 24714.4}",45,"{'bid': 24700.6, 'lastTraded': None, 'ask': 24704.4}","{'bid': 24709.6, 'lastTraded': None, 'ask': 24713.4}",2019:01:21-07:10:00,24711.5,24702.5,24712.5,24703.0
3,"{'bid': 24688.6, 'lastTraded': None, 'ask': 24692.4}","{'bid': 24702.6, 'lastTraded': None, 'ask': 24706.4}",167,"{'bid': 24685.1, 'lastTraded': None, 'ask': 24688.9}","{'bid': 24700.6, 'lastTraded': None, 'ask': 24704.4}",2019:01:21-07:15:00,24702.5,24687.0,24704.5,24690.5
4,"{'bid': 24694.1, 'lastTraded': None, 'ask': 24697.9}","{'bid': 24696.6, 'lastTraded': None, 'ask': 24700.4}",98,"{'bid': 24687.6, 'lastTraded': None, 'ask': 24691.4}","{'bid': 24689.1, 'lastTraded': None, 'ask': 24692.9}",2019:01:21-07:20:00,24691.0,24689.5,24698.5,24696.0
5,"{'bid': 24690.6, 'lastTraded': None, 'ask': 24694.4}","{'bid': 24695.1, 'lastTraded': None, 'ask': 24698.9}",76,"{'bid': 24685.6, 'lastTraded': None, 'ask': 24689.4}","{'bid': 24694.6, 'lastTraded': None, 'ask': 24698.4}",2019:01:21-07:25:00,24696.5,24687.5,24697.0,24692.5
6,"{'bid': 24678.1, 'lastTraded': None, 'ask': 24681.9}","{'bid': 24691.6, 'lastTraded': None, 'ask': 24695.4}",151,"{'bid': 24673.6, 'lastTraded': None, 'ask': 24677.4}","{'bid': 24691.6, 'lastTraded': None, 'ask': 24695.4}",2019:01:21-07:30:00,24693.5,24675.5,24693.5,24680.0
7,"{'bid': 24685.6, 'lastTraded': None, 'ask': 24689.4}","{'bid': 24691.1, 'lastTraded': None, 'ask': 24694.9}",77,"{'bid': 24673.1, 'lastTraded': None, 'ask': 24676.9}","{'bid': 24677.6, 'lastTraded': None, 'ask': 24681.4}",2019:01:21-07:35:00,24679.5,24675.0,24693.0,24687.5
8,"{'bid': 24680.1, 'lastTraded': None, 'ask': 24683.9}","{'bid': 24686.1, 'lastTraded': None, 'ask': 24689.9}",44,"{'bid': 24677.6, 'lastTraded': None, 'ask': 24681.4}","{'bid': 24684.1, 'lastTraded': None, 'ask': 24687.9}",2019:01:21-07:40:00,24686.0,24679.5,24688.0,24682.0
9,"{'bid': 24670.1, 'lastTraded': None, 'ask': 24673.9}","{'bid': 24680.6, 'lastTraded': None, 'ask': 24684.4}",103,"{'bid': 24669.1, 'lastTraded': None, 'ask': 24672.9}","{'bid': 24680.6, 'lastTraded': None, 'ask': 24684.4}",2019:01:21-07:45:00,24682.5,24671.0,24682.5,24672.0
