,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'lastTraded': None, 'bid': 25627.7, 'ask': 25629.3}","{'lastTraded': None, 'bid': 25644.7, 'ask': 25646.3}",1344,"{'lastTraded': None, 'bid': 25623.7, 'ask': 25625.3}","{'lastTraded': None, 'bid': 25633.2, 'ask': 25634.8}",2019:03:27-00:00:00,25634.0,25624.5,25645.5,25628.5
1,"{'lastTraded': None, 'bid': 25627.7, 'ask': 25629.3}","{'lastTraded': None, 'bid': 25634.7, 'ask': 25636.3}",946,"{'lastTraded': None, 'bid': 25618.2, 'ask': 25619.8}","{'lastTraded': None, 'bid': 25628.2, 'ask': 25629.8}",2019:03:27-00:05:00,25629.0,25619.0,25635.5,25628.5
2,"{'lastTraded': None, 'bid': 25642.7, 'ask': 25644.3}","{'lastTraded': None, 'bid': 25645.7, 'ask': 25647.3}",1114,"{'lastTraded': None, 'bid': 25625.7, 'ask': 25627.3}","{'lastTraded': None, 'bid': 25626.7, 'ask': 25628.3}",2019:03:27-00:10:00,25627.5,25626.5,25646.5,25643.5
3,"{'lastTraded': None, 'bid': 25646.7, 'ask': 25648.3}","{'lastTraded': None, 'bid': 25648.7, 'ask': 25650.3}",1033,"{'lastTraded': None, 'bid': 25635.2, 'ask': 25636.8}","{'lastTraded': None, 'bid': 25644.2, 'ask': 25645.8}",2019:03:27-00:15:00,25645.0,25636.0,25649.5,25647.5
4,"{'lastTraded': None, 'bid': 25633.7, 'ask': 25635.3}","{'lastTraded': None, 'bid': 25646.7, 'ask': 25648.3}",933,"{'lastTraded': None, 'bid': 25627.2, 'ask': 25628.8}","{'lastTraded': None, 'bid': 25646.2, 'ask': 25647.8}",2019:03:27-00:20:00,25647.0,25628.0,25647.5,25634.5
5,"{'lastTraded': None, 'bid': 25616.7, 'ask': 25618.3}","{'lastTraded': None, 'bid': 25632.7, 'ask': 25634.3}",920,"{'lastTraded': None, 'bid': 25610.2, 'ask': 25611.8}","{'lastTraded': None, 'bid': 25632.2, 'ask': 25633.8}",2019:03:27-00:25:00,25633.0,25611.0,25633.5,25617.5
6,"{'lastTraded': None, 'bid': 25600.7, 'ask': 25602.3}","{'lastTraded': None, 'bid': 25617.7, 'ask': 25619.3}",1098,"{'lastTraded': None, 'bid': 25596.7, 'ask': 25598.3}","{'lastTraded': None, 'bid': 25617.2, 'ask': 25618.8}",2019:03:27-00:30:00,25618.0,25597.5,25618.5,25601.5
7,"{'lastTraded': None, 'bid': 25582.7, 'ask': 25584.3}","{'lastTraded': None, 'bid': 25602.7, 'ask': 25604.3}",2251,"{'lastTraded': None, 'bid': 25570.7, 'ask': 25572.3}","{'lastTraded': None, 'bid': 25601.7, 'ask': 25603.3}",2019:03:27-00:35:00,25602.5,25571.5,25603.5,25583.5
8,"{'lastTraded': None, 'bid': 25591.7, 'ask': 25593.3}","{'lastTraded': None, 'bid': 25596.7, 'ask': 25598.3}",985,"{'lastTraded': None, 'bid': 25581.2, 'ask': 25582.8}","{'lastTraded': None, 'bid': 25582.2, 'ask': 25583.8}",2019:03:27-00:40:00,25583.0,25582.0,25597.5,25592.5
9,"{'lastTraded': None, 'bid': 25595.7, 'ask': 25597.3}","{'lastTraded': None, 'bid': 25603.2, 'ask': 25604.8}",883,"{'lastTraded': None, 'bid': 25588.7, 'ask': 25590.3}","{'lastTraded': None, 'bid': 25590.7, 'ask': 25592.3}",2019:03:27-00:45:00,25591.5,25589.5,25604.0,25596.5
10,"{'lastTraded': None, 'bid': 25580.7, 'ask': 25582.3}","{'lastTraded': None, 'bid': 25600.2, 'ask': 25601.8}",1032,"{'lastTraded': None, 'bid': 25577.7, 'ask': 25579.3}","{'lastTraded': None, 'bid': 25594.7, 'ask': 25596.3}",2019:03:27-00:50:00,25595.5,25578.5,25601.0,25581.5
11,"{'lastTraded': None, 'bid': 25564.7, 'ask': 25566.3}","{'lastTraded': None, 'bid': 25584.7, 'ask': 25586.3}",1227,"{'lastTraded': None, 'bid': 25561.2, 'ask': 25562.8}","{'lastTraded': None, 'bid': 25581.2, 'ask': 25582.8}",2019:03:27-00:55:00,25582.0,25562.0,25585.5,25565.5
12,"{'lastTraded': None, 'bid': 25558.7, 'ask': 25560.3}","{'lastTraded': None, 'bid': 25576.2, 'ask': 25577.8}",1338,"{'lastTraded': None, 'bid': 25554.7, 'ask': 25556.3}","{'lastTraded': None, 'bid': 25565.2, 'ask': 25566.8}",2019:03:27-01:00:00,25566.0,25555.5,25577.0,25559.5
13,"{'lastTraded': None, 'bid': 25564.2, 'ask': 25565.8}","{'lastTraded': None, 'bid': 25582.7, 'ask': 25584.3}",1378,"{'lastTraded': None, 'bid': 25557.7, 'ask': 25559.3}","{'lastTraded': None, 'bid': 25558.2, 'ask': 25559.8}",2019:03:27-01:05:00,25559.0,25558.5,25583.5,25565.0
14,"{'lastTraded': None, 'bid': 25560.7, 'ask': 25562.3}","{'lastTraded': None, 'bid': 25567.2, 'ask': 25568.8}",1619,"{'lastTraded': None, 'bid': 25547.7, 'ask': 25549.3}","{'lastTraded': None, 'bid': 25563.7, 'ask': 25565.3}",2019:03:27-01:10:00,25564.5,25548.5,25568.0,25561.5
15,"{'lastTraded': None, 'bid': 25581.7, 'ask': 25583.3}","{'lastTraded': None, 'bid': 25584.2, 'ask': 25585.8}",948,"{'lastTraded': None, 'bid': 25561.2, 'ask': 25562.8}","{'lastTraded': None, 'bid': 25561.2, 'ask': 25562.8}",2019:03:27-01:15:00,25562.0,25562.0,25585.0,25582.5
16,"{'lastTraded': None, 'bid': 25576.7, 'ask': 25578.3}","{'lastTraded': None, 'bid': 25581.7, 'ask': 25583.3}",1073,"{'lastTraded': None, 'bid': 25560.7, 'ask': 25562.3}","{'lastTraded': None, 'bid': 25581.2, 'ask': 25582.8}",2019:03:27-01:20:00,25582.0,25561.5,25582.5,25577.5
17,"{'lastTraded': None, 'bid': 25557.2, 'ask': 25558.8}","{'lastTraded': None, 'bid': 25581.7, 'ask': 25583.3}",1138,"{'lastTraded': None, 'bid': 25556.7, 'ask': 25558.3}","{'lastTraded': None, 'bid': 25577.7, 'ask': 25579.3}",2019:03:27-01:25:00,25578.5,25557.5,25582.5,25558.0
18,"{'lastTraded': None, 'bid': 25557.7, 'ask': 25559.3}","{'lastTraded': None, 'bid': 25563.7, 'ask': 25565.3}",1628,"{'lastTraded': None, 'bid': 25540.7, 'ask': 25542.3}","{'lastTraded': None, 'bid': 25556.7, 'ask': 25558.3}",2019:03:27-01:30:00,25557.5,25541.5,25564.5,25558.5
19,"{'lastTraded': None, 'bid': 25573.7, 'ask': 25575.3}","{'lastTraded': None, 'bid': 25577.7, 'ask': 25579.3}",898,"{'lastTraded': None, 'bid': 25554.2, 'ask': 25555.8}","{'lastTraded': None, 'bid': 25557.2, 'ask': 25558.8}",2019:03:27-01:35:00,25558.0,25555.0,25578.5,25574.5
