,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'ask': 26367.9, 'lastTraded': None, 'bid': 26364.1}","{'ask': 26385.4, 'lastTraded': None, 'bid': 26381.6}",546,"{'ask': 26346.4, 'lastTraded': None, 'bid': 26342.6}","{'ask': 26380.4, 'lastTraded': None, 'bid': 26376.6}",2019:04:08-06:00:00,26378.5,26344.5,26383.5,26366.0
1,"{'ask': 26380.4, 'lastTraded': None, 'bid': 26376.6}","{'ask': 26382.9, 'lastTraded': None, 'bid': 26379.1}",197,"{'ask': 26367.9, 'lastTraded': None, 'bid': 26364.1}","{'ask': 26368.4, 'lastTraded': None, 'bid': 26364.6}",2019:04:08-06:05:00,26366.5,26366.0,26381.0,26378.5
2,"{'ask': 26380.4, 'lastTraded': None, 'bid': 26376.6}","{'ask': 26387.4, 'lastTraded': None, 'bid': 26383.6}",151,"{'ask': 26377.4, 'lastTraded': None, 'bid': 26373.6}","{'ask': 26380.9, 'lastTraded': None, 'bid': 26377.1}",2019:04:08-06:10:00,26379.0,26375.5,26385.5,26378.5
3,"{'ask': 26382.4, 'lastTraded': None, 'bid': 26378.6}","{'ask': 26387.9, 'lastTraded': None, 'bid': 26384.1}",104,"{'ask': 26376.9, 'lastTraded': None, 'bid': 26373.1}","{'ask': 26379.9, 'lastTraded': None, 'bid': 26376.1}",2019:04:08-06:15:00,26378.0,26375.0,26386.0,26380.5
4,"{'ask': 26379.4, 'lastTraded': None, 'bid': 26375.6}","{'ask': 26382.9, 'lastTraded': None, 'bid': 26379.1}",102,"{'ask': 26376.4, 'lastTraded': None, 'bid': 26372.6}","{'ask': 26382.9, 'lastTraded': None, 'bid': 26379.1}",2019:04:08-06:20:00,26381.0,26374.5,26381.0,26377.5
5,"{'ask': 26376.4, 'lastTraded': None, 'bid': 26372.6}","{'ask': 26378.9, 'lastTraded': None, 'bid': 26375.1}",150,"{'ask': 26370.9, 'lastTraded': None, 'bid': 26367.1}","{'ask': 26378.9, 'lastTraded': None, 'bid': 26375.1}",2019:04:08-06:25:00,26377.0,26369.0,26377.0,26374.5
6,"{'ask': 26377.9, 'lastTraded': None, 'bid': 26374.1}","{'ask': 26382.9, 'lastTraded': None, 'bid': 26379.1}",89,"{'ask': 26375.9, 'lastTraded': None, 'bid': 26372.1}","{'ask': 26376.9, 'lastTraded': None, 'bid': 26373.1}",2019:04:08-06:30:00,26375.0,26374.0,26381.0,26376.0
7,"{'ask': 26379.4, 'lastTraded': None, 'bid': 26375.6}","{'ask': 26380.9, 'lastTraded': None, 'bid': 26377.1}",81,"{'ask': 26377.9, 'lastTraded': None, 'bid': 26374.1}","{'ask': 26378.4, 'lastTraded': None, 'bid': 26374.6}",2019:04:08-06:35:00,26376.5,26376.0,26379.0,26377.5
8,"{'ask': 26379.4, 'lastTraded': None, 'bid': 26375.6}","{'ask': 26380.4, 'lastTraded': None, 'bid': 26376.6}",45,"{'ask': 26377.9, 'lastTraded': None, 'bid': 26374.1}","{'ask': 26378.4, 'lastTraded': None, 'bid': 26374.6}",2019:04:08-06:40:00,26376.5,26376.0,26378.5,26377.5
9,"{'ask': 26381.4, 'lastTraded': None, 'bid': 26377.6}","{'ask': 26381.4, 'lastTraded': None, 'bid': 26377.6}",35,"{'ask': 26378.4, 'lastTraded': None, 'bid': 26374.6}","{'ask': 26378.9, 'lastTraded': None, 'bid': 26375.1}",2019:04:08-06:45:00,26377.0,26376.5,26379.5,26379.5
