,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'bid': 24523.6, 'lastTraded': None, 'ask': 24525.2}","{'bid': 24525.6, 'lastTraded': None, 'ask': 24527.2}",2349,"{'bid': 24495.6, 'lastTraded': None, 'ask': 24497.2}","{'bid': 24508.1, 'lastTraded': None, 'ask': 24509.7}",2019:01:24-00:00:00,24508.9,24496.4,24526.4,24524.4
1,"{'bid': 24520.6, 'lastTraded': None, 'ask': 24522.2}","{'bid': 24534.6, 'lastTraded': None, 'ask': 24536.2}",2163,"{'bid': 24511.6, 'lastTraded': None, 'ask': 24513.2}","{'bid': 24524.6, 'lastTraded': None, 'ask': 24526.2}",2019:01:24-00:05:00,24525.4,24512.4,24535.4,24521.4
2,"{'bid': 24530.1, 'lastTraded': None, 'ask': 24531.7}","{'bid': 24550.6, 'lastTraded': None, 'ask': 24552.2}",2237,"{'bid': 24518.6, 'lastTraded': None, 'ask': 24520.2}","{'bid': 24520.1, 'lastTraded': None, 'ask': 24521.7}",2019:01:24-00:10:00,24520.9,24519.4,24551.4,24530.9
3,"{'bid': 24479.6, 'lastTraded': None, 'ask': 24481.2}","{'bid': 24537.6, 'lastTraded': None, 'ask': 24539.2}",3382,"{'bid': 24465.6, 'lastTraded': None, 'ask': 24467.2}","{'bid': 24530.6, 'lastTraded': None, 'ask': 24532.2}",2019:01:24-00:15:00,24531.4,24466.4,24538.4,24480.4
4,"{'bid': 24444.6, 'lastTraded': None, 'ask': 24446.2}","{'bid': 24478.6, 'lastTraded': None, 'ask': 24480.2}",2646,"{'bid': 24439.6, 'lastTraded': None, 'ask': 24441.2}","{'bid': 24478.6, 'lastTraded': None, 'ask': 24480.2}",2019:01:24-00:20:00,24479.4,24440.4,24479.4,24445.4
5,"{'bid': 24459.6, 'lastTraded': None, 'ask': 24461.2}","{'bid': 24463.6, 'lastTraded': None, 'ask': 24465.2}",2924,"{'bid': 24421.6, 'lastTraded': None, 'ask': 24423.2}","{'bid': 24444.1, 'lastTraded': None, 'ask': 24445.7}",2019:01:24-00:25:00,24444.9,24422.4,24464.4,24460.4
6,"{'bid': 24467.1, 'lastTraded': None, 'ask': 24468.7}","{'bid': 24471.6, 'lastTraded': None, 'ask': 24473.2}",1762,"{'bid': 24440.6, 'lastTraded': None, 'ask': 24442.2}","{'bid': 24459.1, 'lastTraded': None, 'ask': 24460.7}",2019:01:24-00:30:00,24459.9,24441.4,24472.4,24467.9
7,"{'bid': 24461.6, 'lastTraded': None, 'ask': 24463.2}","{'bid': 24477.6, 'lastTraded': None, 'ask': 24479.2}",1550,"{'bid': 24447.6, 'lastTraded': None, 'ask': 24449.2}","{'bid': 24466.6, 'lastTraded': None, 'ask': 24468.2}",2019:01:24-00:35:00,24467.4,24448.4,24478.4,24462.4
8,"{'bid': 24432.1, 'lastTraded': None, 'ask': 24433.7}","{'bid': 24462.1, 'lastTraded': None, 'ask': 24463.7}",1747,"{'bid': 24429.6, 'lastTraded': None, 'ask': 24431.2}","{'bid': 24461.1, 'lastTraded': None, 'ask': 24462.7}",2019:01:24-00:40:00,24461.9,24430.4,24462.9,24432.9
9,"{'bid': 24389.6, 'lastTraded': None, 'ask': 24391.2}","{'bid': 24442.6, 'lastTraded': None, 'ask': 24444.2}",3399,"{'bid': 24389.6, 'lastTraded': None, 'ask': 24391.2}","{'bid': 24432.6, 'lastTraded': None, 'ask': 24434.2}",2019:01:24-00:45:00,24433.4,24390.4,24443.4,24390.4
10,"{'bid': 24370.1, 'lastTraded': None, 'ask': 24371.7}","{'bid': 24405.6, 'lastTraded': None, 'ask': 24407.2}",3093,"{'bid': 24358.6, 'lastTraded': None, 'ask': 24360.2}","{'bid': 24390.6, 'lastTraded': None, 'ask': 24392.2}",2019:01:24-00:50:00,24391.4,24359.4,24406.4,24370.9
11,"{'bid': 24369.6, 'lastTraded': None, 'ask': 24371.2}","{'bid': 24383.6, 'lastTraded': None, 'ask': 24385.2}",3161,"{'bid': 24348.1, 'lastTraded': None, 'ask': 24349.7}","{'bid': 24369.6, 'lastTraded': None, 'ask': 24371.2}",2019:01:24-00:55:00,24370.4,24348.9,24384.4,24370.4
12,"{'bid': 24378.6, 'lastTraded': None, 'ask': 24380.2}","{'bid': 24386.6, 'lastTraded': None, 'ask': 24388.2}",3679,"{'bid': 24347.6, 'lastTraded': None, 'ask': 24349.2}","{'bid': 24370.1, 'lastTraded': None, 'ask': 24371.7}",2019:01:24-01:00:00,24370.9,24348.4,24387.4,24379.4
13,"{'bid': 24335.1, 'lastTraded': None, 'ask': 24336.7}","{'bid': 24387.6, 'lastTraded': None, 'ask': 24389.2}",4057,"{'bid': 24305.6, 'lastTraded': None, 'ask': 24307.2}","{'bid': 24379.1, 'lastTraded': None, 'ask': 24380.7}",2019:01:24-01:05:00,24379.9,24306.4,24388.4,24335.9
14,"{'bid': 24341.6, 'lastTraded': None, 'ask': 24343.2}","{'bid': 24355.6, 'lastTraded': None, 'ask': 24357.2}",2364,"{'bid': 24324.6, 'lastTraded': None, 'ask': 24326.2}","{'bid': 24334.6, 'lastTraded': None, 'ask': 24336.2}",2019:01:24-01:10:00,24335.4,24325.4,24356.4,24342.4
15,"{'bid': 24337.6, 'lastTraded': None, 'ask': 24339.2}","{'bid': 24344.6, 'lastTraded': None, 'ask': 24346.2}",2245,"{'bid': 24316.1, 'lastTraded': None, 'ask': 24317.7}","{'bid': 24342.1, 'lastTraded': None, 'ask': 24343.7}",2019:01:24-01:15:00,24342.9,24316.9,24345.4,24338.4
16,"{'bid': 24377.1, 'lastTraded': None, 'ask': 24378.7}","{'bid': 24382.6, 'lastTraded': None, 'ask': 24384.2}",3044,"{'bid': 24329.1, 'lastTraded': None, 'ask': 24330.7}","{'bid': 24338.6, 'lastTraded': None, 'ask': 24340.2}",2019:01:24-01:20:00,24339.4,24329.9,24383.4,24377.9
17,"{'bid': 24390.1, 'lastTraded': None, 'ask': 24391.7}","{'bid': 24398.6, 'lastTraded': None, 'ask': 24400.2}",2123,"{'bid': 24367.6, 'lastTraded': None, 'ask': 24369.2}","{'bid': 24377.6, 'lastTraded': None, 'ask': 24379.2}",2019:01:24-01:25:00,24378.4,24368.4,24399.4,24390.9
18,"{'bid': 24408.1, 'lastTraded': None, 'ask': 24409.7}","{'bid': 24425.6, 'lastTraded': None, 'ask': 24427.2}",2070,"{'bid': 24382.6, 'lastTraded': None, 'ask': 24384.2}","{'bid': 24389.6, 'lastTraded': None, 'ask': 24391.2}",2019:01:24-01:30:00,24390.4,24383.4,24426.4,24408.9
19,"{'bid': 24403.1, 'lastTraded': None, 'ask': 24404.7}","{'bid': 24412.1, 'lastTraded': None, 'ask': 24413.7}",1304,"{'bid': 24388.6, 'lastTraded': None, 'ask': 24390.2}","{'bid': 24408.6, 'lastTraded': None, 'ask': 24410.2}",2019:01:24-01:35:00,24409.4,24389.4,24412.9,24403.9
20,"{'bid': 24413.1, 'lastTraded': None, 'ask': 24414.7}","{'bid': 24417.6, 'lastTraded': None, 'ask': 24419.2}",1663,"{'bid': 24390.6, 'lastTraded': None, 'ask': 24392.2}","{'bid': 24402.6, 'lastTraded': None, 'ask': 24404.2}",2019:01:24-01:40:00,24403.4,24391.4,24418.4,24413.9
21,"{'bid': 24438.6, 'lastTraded': None, 'ask': 24440.2}","{'bid': 24444.6, 'lastTraded': None, 'ask': 24446.2}",1849,"{'bid': 24413.6, 'lastTraded': None, 'ask': 24415.2}","{'bid': 24413.6, 'lastTraded': None, 'ask': 24415.2}",2019:01:24-01:45:00,24414.4,24414.4,24445.4,24439.4
22,"{'bid': 24440.6, 'lastTraded': None, 'ask': 24442.2}","{'bid': 24452.1, 'lastTraded': None, 'ask': 24453.7}",1175,"{'bid': 24426.6, 'lastTraded': None, 'ask': 24428.2}","{'bid': 24439.1, 'lastTraded': None, 'ask': 24440.7}",2019:01:24-01:50:00,24439.9,24427.4,24452.9,24441.4
23,"{'bid': 24461.6, 'lastTraded': None, 'ask': 24463.2}","{'bid': 24469.6, 'lastTraded': None, 'ask': 24471.2}",1684,"{'bid': 24428.6, 'lastTraded': None, 'ask': 24430.2}","{'bid': 24441.1, 'lastTraded': None, 'ask': 24442.7}",2019:01:24-01:55:00,24441.9,24429.4,24470.4,24462.4
24,"{'bid': 24428.1, 'lastTraded': None, 'ask': 24429.7}","{'bid': 24465.6, 'lastTraded': None, 'ask': 24467.2}",1767,"{'bid': 24423.6, 'lastTraded': None, 'ask': 24425.2}","{'bid': 24461.1, 'lastTraded': None, 'ask': 24462.7}",2019:01:24-02:00:00,24461.9,24424.4,24466.4,24428.9
25,"{'bid': 24457.1, 'lastTraded': None, 'ask': 24458.7}","{'bid': 24463.6, 'lastTraded': None, 'ask': 24465.2}",1889,"{'bid': 24405.6, 'lastTraded': None, 'ask': 24407.2}","{'bid': 24428.6, 'lastTraded': None, 'ask': 24430.2}",2019:01:24-02:05:00,24429.4,24406.4,24464.4,24457.9
26,"{'bid': 24434.1, 'lastTraded': None, 'ask': 24435.7}","{'bid': 24463.1, 'lastTraded': None, 'ask': 24464.7}",2016,"{'bid': 24429.1, 'lastTraded': None, 'ask': 24430.7}","{'bid': 24457.6, 'lastTraded': None, 'ask': 24459.2}",2019:01:24-02:10:00,24458.4,24429.9,24463.9,24434.9
27,"{'bid': 24466.1, 'lastTraded': None, 'ask': 24467.7}","{'bid': 24481.6, 'lastTraded': None, 'ask': 24483.2}",2711,"{'bid': 24434.6, 'lastTraded': None, 'ask': 24436.2}","{'bid': 24434.6, 'lastTraded': None, 'ask': 24436.2}",2019:01:24-02:15:00,24435.4,24435.4,24482.4,24466.9
28,"{'bid': 24468.6, 'lastTraded': None, 'ask': 24470.2}","{'bid': 24480.6, 'lastTraded': None, 'ask': 24482.2}",1224,"{'bid': 24464.6, 'lastTraded': None, 'ask': 24466.2}","{'bid': 24466.6, 'lastTraded': None, 'ask': 24468.2}",2019:01:24-02:20:00,24467.4,24465.4,24481.4,24469.4
29,"{'bid': 24452.6, 'lastTraded': None, 'ask': 24454.2}","{'bid': 24476.1, 'lastTraded': None, 'ask': 24477.7}",1329,"{'bid': 24448.1, 'lastTraded': None, 'ask': 24449.7}","{'bid': 24469.6, 'lastTraded': None, 'ask': 24471.2}",2019:01:24-02:25:00,24470.4,24448.9,24476.9,24453.4
30,"{'bid': 24480.1, 'lastTraded': None, 'ask': 24481.7}","{'bid': 24492.1, 'lastTraded': None, 'ask': 24493.7}",1888,"{'bid': 24451.6, 'lastTraded': None, 'ask': 24453.2}","{'bid': 24453.1, 'lastTraded': None, 'ask': 24454.7}",2019:01:24-02:30:00,24453.9,24452.4,24492.9,24480.9
31,"{'bid': 24482.1, 'lastTraded': None, 'ask': 24483.7}","{'bid': 24494.6, 'lastTraded': None, 'ask': 24496.2}",1167,"{'bid': 24479.6, 'lastTraded': None, 'ask': 24481.2}","{'bid': 24479.6, 'lastTraded': None, 'ask': 24481.2}",2019:01:24-02:35:00,24480.4,24480.4,24495.4,24482.9
32,"{'bid': 24492.3, 'lastTraded': None, 'ask': 24493.9}","{'bid': 24498.3, 'lastTraded': None, 'ask': 24499.9}",1336,"{'bid': 24469.8, 'lastTraded': None, 'ask': 24471.4}","{'bid': 24481.8, 'lastTraded': None, 'ask': 24483.4}",2019:01:24-02:40:00,24482.6,24470.6,24499.1,24493.1
33,"{'bid': 24491.3, 'lastTraded': None, 'ask': 24492.9}","{'bid': 24505.8, 'lastTraded': None, 'ask': 24507.4}",1186,"{'bid': 24490.3, 'lastTraded': None, 'ask': 24491.9}","{'bid': 24493.3, 'lastTraded': None, 'ask': 24494.9}",2019:01:24-02:45:00,24494.1,24491.1,24506.6,24492.1
34,"{'bid': 24497.3, 'lastTraded': None, 'ask': 24498.9}","{'bid': 24504.3, 'lastTraded': None, 'ask': 24505.9}",1401,"{'bid': 24476.3, 'lastTraded': None, 'ask': 24477.9}","{'bid': 24491.8, 'lastTraded': None, 'ask': 24493.4}",2019:01:24-02:50:00,24492.6,24477.1,24505.1,24498.1
35,"{'bid': 24496.8, 'lastTraded': None, 'ask': 24498.4}","{'bid': 24510.3, 'lastTraded': None, 'ask': 24511.9}",2770,"{'bid': 24481.3, 'lastTraded': None, 'ask': 24482.9}","{'bid': 24497.8, 'lastTraded': None, 'ask': 24499.4}",2019:01:24-02:55:00,24498.6,24482.1,24511.1,24497.6
36,"{'bid': 24541.8, 'lastTraded': None, 'ask': 24543.4}","{'bid': 24546.3, 'lastTraded': None, 'ask': 24547.9}",2265,"{'bid': 24497.3, 'lastTraded': None, 'ask': 24498.9}","{'bid': 24497.3, 'lastTraded': None, 'ask': 24498.9}",2019:01:24-03:00:00,24498.1,24498.1,24547.1,24542.6
37,"{'bid': 24533.3, 'lastTraded': None, 'ask': 24534.9}","{'bid': 24543.3, 'lastTraded': None, 'ask': 24544.9}",1072,"{'bid': 24528.3, 'lastTraded': None, 'ask': 24529.9}","{'bid': 24541.3, 'lastTraded': None, 'ask': 24542.9}",2019:01:24-03:05:00,24542.1,24529.1,24544.1,24534.1
38,"{'bid': 24528.3, 'lastTraded': None, 'ask': 24529.9}","{'bid': 24540.3, 'lastTraded': None, 'ask': 24541.9}",855,"{'bid': 24526.8, 'lastTraded': None, 'ask': 24528.4}","{'bid': 24532.8, 'lastTraded': None, 'ask': 24534.4}",2019:01:24-03:10:00,24533.6,24527.6,24541.1,24529.1
39,"{'bid': 24487.3, 'lastTraded': None, 'ask': 24488.9}","{'bid': 24529.3, 'lastTraded': None, 'ask': 24530.9}",1625,"{'bid': 24480.3, 'lastTraded': None, 'ask': 24481.9}","{'bid': 24527.8, 'lastTraded': None, 'ask': 24529.4}",2019:01:24-03:15:00,24528.6,24481.1,24530.1,24488.1
40,"{'bid': 24524.8, 'lastTraded': None, 'ask': 24526.4}","{'bid': 24531.3, 'lastTraded': None, 'ask': 24532.9}",1388,"{'bid': 24487.3, 'lastTraded': None, 'ask': 24488.9}","{'bid': 24487.8, 'lastTraded': None, 'ask': 24489.4}",2019:01:24-03:20:00,24488.6,24488.1,24532.1,24525.6
