,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'bid': 26440.8, 'lastTraded': None, 'ask': 26442.4}","{'bid': 26445.8, 'lastTraded': None, 'ask': 26447.4}",1096,"{'bid': 26432.8, 'lastTraded': None, 'ask': 26434.4}","{'bid': 26435.8, 'lastTraded': None, 'ask': 26437.4}",2019:04:17-00:00:00,26436.6,26433.6,26446.6,26441.6
1,"{'bid': 26441.3, 'lastTraded': None, 'ask': 26442.9}","{'bid': 26448.8, 'lastTraded': None, 'ask': 26450.4}",906,"{'bid': 26440.8, 'lastTraded': None, 'ask': 26442.4}","{'bid': 26441.3, 'lastTraded': None, 'ask': 26442.9}",2019:04:17-00:05:00,26442.1,26441.6,26449.6,26442.1
2,"{'bid': 26445.8, 'lastTraded': None, 'ask': 26447.4}","{'bid': 26447.3, 'lastTraded': None, 'ask': 26448.9}",587,"{'bid': 26438.8, 'lastTraded': None, 'ask': 26440.4}","{'bid': 26441.8, 'lastTraded': None, 'ask': 26443.4}",2019:04:17-00:10:00,26442.6,26439.6,26448.1,26446.6
3,"{'bid': 26443.8, 'lastTraded': None, 'ask': 26445.4}","{'bid': 26448.8, 'lastTraded': None, 'ask': 26450.4}",594,"{'bid': 26441.8, 'lastTraded': None, 'ask': 26443.4}","{'bid': 26444.8, 'lastTraded': None, 'ask': 26446.4}",2019:04:17-00:15:00,26445.6,26442.6,26449.6,26444.6
4,"{'bid': 26433.8, 'lastTraded': None, 'ask': 26435.4}","{'bid': 26444.8, 'lastTraded': None, 'ask': 26446.4}",964,"{'bid': 26430.3, 'lastTraded': None, 'ask': 26431.9}","{'bid': 26444.3, 'lastTraded': None, 'ask': 26445.9}",2019:04:17-00:20:00,26445.1,26431.1,26445.6,26434.6
5,"{'bid': 26430.8, 'lastTraded': None, 'ask': 26432.4}","{'bid': 26437.8, 'lastTraded': None, 'ask': 26439.4}",687,"{'bid': 26428.8, 'lastTraded': None, 'ask': 26430.4}","{'bid': 26434.3, 'lastTraded': None, 'ask': 26435.9}",2019:04:17-00:25:00,26435.1,26429.6,26438.6,26431.6
6,"{'bid': 26425.3, 'lastTraded': None, 'ask': 26426.9}","{'bid': 26435.8, 'lastTraded': None, 'ask': 26437.4}",1147,"{'bid': 26418.8, 'lastTraded': None, 'ask': 26420.4}","{'bid': 26430.3, 'lastTraded': None, 'ask': 26431.9}",2019:04:17-00:30:00,26431.1,26419.6,26436.6,26426.1
7,"{'bid': 26423.8, 'lastTraded': None, 'ask': 26425.4}","{'bid': 26425.8, 'lastTraded': None, 'ask': 26427.4}",951,"{'bid': 26414.8, 'lastTraded': None, 'ask': 26416.4}","{'bid': 26424.8, 'lastTraded': None, 'ask': 26426.4}",2019:04:17-00:35:00,26425.6,26415.6,26426.6,26424.6
8,"{'bid': 26421.3, 'lastTraded': None, 'ask': 26422.9}","{'bid': 26425.8, 'lastTraded': None, 'ask': 26427.4}",635,"{'bid': 26416.8, 'lastTraded': None, 'ask': 26418.4}","{'bid': 26423.3, 'lastTraded': None, 'ask': 26424.9}",2019:04:17-00:40:00,26424.1,26417.6,26426.6,26422.1
9,"{'bid': 26424.8, 'lastTraded': None, 'ask': 26426.4}","{'bid': 26425.3, 'lastTraded': None, 'ask': 26426.9}",653,"{'bid': 26414.8, 'lastTraded': None, 'ask': 26416.4}","{'bid': 26421.8, 'lastTraded': None, 'ask': 26423.4}",2019:04:17-00:45:00,26422.6,26415.6,26426.1,26425.6
10,"{'bid': 26422.8, 'lastTraded': None, 'ask': 26424.4}","{'bid': 26430.8, 'lastTraded': None, 'ask': 26432.4}",685,"{'bid': 26418.8, 'lastTraded': None, 'ask': 26420.4}","{'bid': 26425.3, 'lastTraded': None, 'ask': 26426.9}",2019:04:17-00:50:00,26426.1,26419.6,26431.6,26423.6
11,"{'bid': 26430.3, 'lastTraded': None, 'ask': 26431.9}","{'bid': 26436.8, 'lastTraded': None, 'ask': 26438.4}",1104,"{'bid': 26421.8, 'lastTraded': None, 'ask': 26423.4}","{'bid': 26423.8, 'lastTraded': None, 'ask': 26425.4}",2019:04:17-00:55:00,26424.6,26422.6,26437.6,26431.1
12,"{'bid': 26421.8, 'lastTraded': None, 'ask': 26423.4}","{'bid': 26431.3, 'lastTraded': None, 'ask': 26432.9}",640,"{'bid': 26420.8, 'lastTraded': None, 'ask': 26422.4}","{'bid': 26430.8, 'lastTraded': None, 'ask': 26432.4}",2019:04:17-01:00:00,26431.6,26421.6,26432.1,26422.6
13,"{'bid': 26428.8, 'lastTraded': None, 'ask': 26430.4}","{'bid': 26429.8, 'lastTraded': None, 'ask': 26431.4}",652,"{'bid': 26420.3, 'lastTraded': None, 'ask': 26421.9}","{'bid': 26422.3, 'lastTraded': None, 'ask': 26423.9}",2019:04:17-01:05:00,26423.1,26421.1,26430.6,26429.6
14,"{'bid': 26423.8, 'lastTraded': None, 'ask': 26425.4}","{'bid': 26429.8, 'lastTraded': None, 'ask': 26431.4}",512,"{'bid': 26419.8, 'lastTraded': None, 'ask': 26421.4}","{'bid': 26429.3, 'lastTraded': None, 'ask': 26430.9}",2019:04:17-01:10:00,26430.1,26420.6,26430.6,26424.6
