,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'bid': 24614.2, 'lastTraded': None, 'ask': 24615.8}","{'bid': 24619.7, 'lastTraded': None, 'ask': 24621.3}",3124,"{'bid': 24572.7, 'lastTraded': None, 'ask': 24574.3}","{'bid': 24580.2, 'lastTraded': None, 'ask': 24581.8}",2019:01:19-00:00:00,24581.0,24573.5,24620.5,24615.0
1,"{'bid': 24611.7, 'lastTraded': None, 'ask': 24613.3}","{'bid': 24626.7, 'lastTraded': None, 'ask': 24628.3}",2260,"{'bid': 24602.7, 'lastTraded': None, 'ask': 24604.3}","{'bid': 24613.7, 'lastTraded': None, 'ask': 24615.3}",2019:01:19-00:05:00,24614.5,24603.5,24627.5,24612.5
2,"{'bid': 24599.2, 'lastTraded': None, 'ask': 24600.8}","{'bid': 24613.7, 'lastTraded': None, 'ask': 24615.3}",1190,"{'bid': 24597.2, 'lastTraded': None, 'ask': 24598.8}","{'bid': 24612.2, 'lastTraded': None, 'ask': 24613.8}",2019:01:19-00:10:00,24613.0,24598.0,24614.5,24600.0
3,"{'bid': 24596.2, 'lastTraded': None, 'ask': 24597.8}","{'bid': 24608.7, 'lastTraded': None, 'ask': 24610.3}",1226,"{'bid': 24591.2, 'lastTraded': None, 'ask': 24592.8}","{'bid': 24599.7, 'lastTraded': None, 'ask': 24601.3}",2019:01:19-00:15:00,24600.5,24592.0,24609.5,24597.0
4,"{'bid': 24601.7, 'lastTraded': None, 'ask': 24603.3}","{'bid': 24611.2, 'lastTraded': None, 'ask': 24612.8}",1881,"{'bid': 24585.7, 'lastTraded': None, 'ask': 24587.3}","{'bid': 24596.7, 'lastTraded': None, 'ask': 24598.3}",2019:01:19-00:20:00,24597.5,24586.5,24612.0,24602.5
5,"{'bid': 24635.7, 'lastTraded': None, 'ask': 24637.3}","{'bid': 24645.2, 'lastTraded': None, 'ask': 24646.8}",2150,"{'bid': 24601.2, 'lastTraded': None, 'ask': 24602.8}","{'bid': 24601.2, 'lastTraded': None, 'ask': 24602.8}",2019:01:19-00:25:00,24602.0,24602.0,24646.0,24636.5
6,"{'bid': 24637.7, 'lastTraded': None, 'ask': 24639.3}","{'bid': 24650.2, 'lastTraded': None, 'ask': 24651.8}",2926,"{'bid': 24622.2, 'lastTraded': None, 'ask': 24623.8}","{'bid': 24635.2, 'lastTraded': None, 'ask': 24636.8}",2019:01:19-00:30:00,24636.0,24623.0,24651.0,24638.5
7,"{'bid': 24654.7, 'lastTraded': None, 'ask': 24656.3}","{'bid': 24656.2, 'lastTraded': None, 'ask': 24657.8}",1140,"{'bid': 24631.7, 'lastTraded': None, 'ask': 24633.3}","{'bid': 24636.7, 'lastTraded': None, 'ask': 24638.3}",2019:01:19-00:35:00,24637.5,24632.5,24657.0,24655.5
8,"{'bid': 24648.2, 'lastTraded': None, 'ask': 24649.8}","{'bid': 24660.7, 'lastTraded': None, 'ask': 24662.3}",1239,"{'bid': 24645.7, 'lastTraded': None, 'ask': 24647.3}","{'bid': 24655.2, 'lastTraded': None, 'ask': 24656.8}",2019:01:19-00:40:00,24656.0,24646.5,24661.5,24649.0
9,"{'bid': 24651.7, 'lastTraded': None, 'ask': 24653.3}","{'bid': 24660.7, 'lastTraded': None, 'ask': 24662.3}",1141,"{'bid': 24643.7, 'lastTraded': None, 'ask': 24645.3}","{'bid': 24648.7, 'lastTraded': None, 'ask': 24650.3}",2019:01:19-00:45:00,24649.5,24644.5,24661.5,24652.5
