,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'ask': 25420.7, 'bid': 25419.1, 'lastTraded': None}","{'ask': 25425.7, 'bid': 25424.1, 'lastTraded': None}",1689,"{'ask': 25405.2, 'bid': 25403.6, 'lastTraded': None}","{'ask': 25411.7, 'bid': 25410.1, 'lastTraded': None}",2019:02:06-00:00:00,25410.9,25404.4,25424.9,25419.9
1,"{'ask': 25401.2, 'bid': 25399.6, 'lastTraded': None}","{'ask': 25424.7, 'bid': 25423.1, 'lastTraded': None}",1432,"{'ask': 25400.2, 'bid': 25398.6, 'lastTraded': None}","{'ask': 25421.2, 'bid': 25419.6, 'lastTraded': None}",2019:02:06-00:05:00,25420.4,25399.4,25423.9,25400.4
2,"{'ask': 25380.7, 'bid': 25379.1, 'lastTraded': None}","{'ask': 25403.2, 'bid': 25401.6, 'lastTraded': None}",1316,"{'ask': 25380.7, 'bid': 25379.1, 'lastTraded': None}","{'ask': 25401.7, 'bid': 25400.1, 'lastTraded': None}",2019:02:06-00:10:00,25400.9,25379.9,25402.4,25379.9
3,"{'ask': 25386.7, 'bid': 25385.1, 'lastTraded': None}","{'ask': 25388.7, 'bid': 25387.1, 'lastTraded': None}",1441,"{'ask': 25368.7, 'bid': 25367.1, 'lastTraded': None}","{'ask': 25379.7, 'bid': 25378.1, 'lastTraded': None}",2019:02:06-00:15:00,25378.9,25367.9,25387.9,25385.9
4,"{'ask': 25376.7, 'bid': 25375.1, 'lastTraded': None}","{'ask': 25390.7, 'bid': 25389.1, 'lastTraded': None}",1015,"{'ask': 25369.7, 'bid': 25368.1, 'lastTraded': None}","{'ask': 25387.2, 'bid': 25385.6, 'lastTraded': None}",2019:02:06-00:20:00,25386.4,25368.9,25389.9,25375.9
5,"{'ask': 25363.2, 'bid': 25361.6, 'lastTraded': None}","{'ask': 25377.7, 'bid': 25376.1, 'lastTraded': None}",2279,"{'ask': 25348.7, 'bid': 25347.1, 'lastTraded': None}","{'ask': 25376.2, 'bid': 25374.6, 'lastTraded': None}",2019:02:06-00:25:00,25375.4,25347.9,25376.9,25362.4
6,"{'ask': 25370.7, 'bid': 25369.1, 'lastTraded': None}","{'ask': 25373.7, 'bid': 25372.1, 'lastTraded': None}",1261,"{'ask': 25358.2, 'bid': 25356.6, 'lastTraded': None}","{'ask': 25363.7, 'bid': 25362.1, 'lastTraded': None}",2019:02:06-00:30:00,25362.9,25357.4,25372.9,25369.9
7,"{'ask': 25383.7, 'bid': 25382.1, 'lastTraded': None}","{'ask': 25387.7, 'bid': 25386.1, 'lastTraded': None}",1081,"{'ask': 25370.7, 'bid': 25369.1, 'lastTraded': None}","{'ask': 25371.2, 'bid': 25369.6, 'lastTraded': None}",2019:02:06-00:35:00,25370.4,25369.9,25386.9,25382.9
8,"{'ask': 25393.7, 'bid': 25392.1, 'lastTraded': None}","{'ask': 25404.7, 'bid': 25403.1, 'lastTraded': None}",1238,"{'ask': 25382.7, 'bid': 25381.1, 'lastTraded': None}","{'ask': 25384.7, 'bid': 25383.1, 'lastTraded': None}",2019:02:06-00:40:00,25383.9,25381.9,25403.9,25392.9
9,"{'ask': 25382.2, 'bid': 25380.6, 'lastTraded': None}","{'ask': 25394.7, 'bid': 25393.1, 'lastTraded': None}",1367,"{'ask': 25373.2, 'bid': 25371.6, 'lastTraded': None}","{'ask': 25394.2, 'bid': 25392.6, 'lastTraded': None}",2019:02:06-00:45:00,25393.4,25372.4,25393.9,25381.4
10,"{'ask': 25393.2, 'bid': 25391.6, 'lastTraded': None}","{'ask': 25393.7, 'bid': 25392.1, 'lastTraded': None}",1013,"{'ask': 25379.7, 'bid': 25378.1, 'lastTraded': None}","{'ask': 25381.7, 'bid': 25380.1, 'lastTraded': None}",2019:02:06-00:50:00,25380.9,25378.9,25392.9,25392.4
11,"{'ask': 25401.2, 'bid': 25399.6, 'lastTraded': None}","{'ask': 25408.7, 'bid': 25407.1, 'lastTraded': None}",1138,"{'ask': 25392.7, 'bid': 25391.1, 'lastTraded': None}","{'ask': 25393.7, 'bid': 25392.1, 'lastTraded': None}",2019:02:06-00:55:00,25392.9,25391.9,25407.9,25400.4
12,"{'ask': 25399.7, 'bid': 25398.1, 'lastTraded': None}","{'ask': 25404.7, 'bid': 25403.1, 'lastTraded': None}",877,"{'ask': 25389.7, 'bid': 25388.1, 'lastTraded': None}","{'ask': 25401.7, 'bid': 25400.1, 'lastTraded': None}",2019:02:06-01:00:00,25400.9,25388.9,25403.9,25398.9
13,"{'ask': 25377.7, 'bid': 25376.1, 'lastTraded': None}","{'ask': 25402.7, 'bid': 25401.1, 'lastTraded': None}",1197,"{'ask': 25377.7, 'bid': 25376.1, 'lastTraded': None}","{'ask': 25400.7, 'bid': 25399.1, 'lastTraded': None}",2019:02:06-01:05:00,25399.9,25376.9,25401.9,25376.9
14,"{'ask': 25382.7, 'bid': 25381.1, 'lastTraded': None}","{'ask': 25384.7, 'bid': 25383.1, 'lastTraded': None}",1238,"{'ask': 25363.7, 'bid': 25362.1, 'lastTraded': None}","{'ask': 25378.2, 'bid': 25376.6, 'lastTraded': None}",2019:02:06-01:10:00,25377.4,25362.9,25383.9,25381.9
15,"{'ask': 25359.7, 'bid': 25358.1, 'lastTraded': None}","{'ask': 25387.7, 'bid': 25386.1, 'lastTraded': None}",1024,"{'ask': 25359.7, 'bid': 25358.1, 'lastTraded': None}","{'ask': 25382.2, 'bid': 25380.6, 'lastTraded': None}",2019:02:06-01:15:00,25381.4,25358.9,25386.9,25358.9
16,"{'ask': 25350.7, 'bid': 25349.1, 'lastTraded': None}","{'ask': 25362.7, 'bid': 25361.1, 'lastTraded': None}",1675,"{'ask': 25340.7, 'bid': 25339.1, 'lastTraded': None}","{'ask': 25360.2, 'bid': 25358.6, 'lastTraded': None}",2019:02:06-01:20:00,25359.4,25339.9,25361.9,25349.9
17,"{'ask': 25359.2, 'bid': 25357.6, 'lastTraded': None}","{'ask': 25360.7, 'bid': 25359.1, 'lastTraded': None}",892,"{'ask': 25346.7, 'bid': 25345.1, 'lastTraded': None}","{'ask': 25350.2, 'bid': 25348.6, 'lastTraded': None}",2019:02:06-01:25:00,25349.4,25345.9,25359.9,25358.4
18,"{'ask': 25353.7, 'bid': 25352.1, 'lastTraded': None}","{'ask': 25359.7, 'bid': 25358.1, 'lastTraded': None}",1099,"{'ask': 25339.7, 'bid': 25338.1, 'lastTraded': None}","{'ask': 25359.7, 'bid': 25358.1, 'lastTraded': None}",2019:02:06-01:30:00,25358.9,25338.9,25358.9,25352.9
