,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'ask': 25576.9, 'lastTraded': None, 'bid': 25575.3}","{'ask': 25587.9, 'lastTraded': None, 'bid': 25586.3}",4321,"{'ask': 25532.9, 'lastTraded': None, 'bid': 25531.3}","{'ask': 25539.9, 'lastTraded': None, 'bid': 25538.3}",2019:03:23-00:00:00,25539.1,25532.1,25587.1,25576.1
1,"{'ask': 25576.9, 'lastTraded': None, 'bid': 25575.3}","{'ask': 25593.9, 'lastTraded': None, 'bid': 25592.3}",2569,"{'ask': 25563.9, 'lastTraded': None, 'bid': 25562.3}","{'ask': 25575.9, 'lastTraded': None, 'bid': 25574.3}",2019:03:23-00:05:00,25575.1,25563.1,25593.1,25576.1
2,"{'ask': 25549.4, 'lastTraded': None, 'bid': 25547.8}","{'ask': 25579.9, 'lastTraded': None, 'bid': 25578.3}",2216,"{'ask': 25547.9, 'lastTraded': None, 'bid': 25546.3}","{'ask': 25577.9, 'lastTraded': None, 'bid': 25576.3}",2019:03:23-00:10:00,25577.1,25547.1,25579.1,25548.6
3,"{'ask': 25553.9, 'lastTraded': None, 'bid': 25552.3}","{'ask': 25584.9, 'lastTraded': None, 'bid': 25583.3}",2625,"{'ask': 25544.9, 'lastTraded': None, 'bid': 25543.3}","{'ask': 25549.9, 'lastTraded': None, 'bid': 25548.3}",2019:03:23-00:15:00,25549.1,25544.1,25584.1,25553.1
4,"{'ask': 25572.9, 'lastTraded': None, 'bid': 25571.3}","{'ask': 25588.9, 'lastTraded': None, 'bid': 25587.3}",2544,"{'ask': 25549.4, 'lastTraded': None, 'bid': 25547.8}","{'ask': 25554.9, 'lastTraded': None, 'bid': 25553.3}",2019:03:23-00:20:00,25554.1,25548.6,25588.1,25572.1
5,"{'ask': 25554.9, 'lastTraded': None, 'bid': 25553.3}","{'ask': 25575.9, 'lastTraded': None, 'bid': 25574.3}",2198,"{'ask': 25540.4, 'lastTraded': None, 'bid': 25538.8}","{'ask': 25571.9, 'lastTraded': None, 'bid': 25570.3}",2019:03:23-00:25:00,25571.1,25539.6,25575.1,25554.1
6,"{'ask': 25583.9, 'lastTraded': None, 'bid': 25582.3}","{'ask': 25587.9, 'lastTraded': None, 'bid': 25586.3}",2606,"{'ask': 25540.9, 'lastTraded': None, 'bid': 25539.3}","{'ask': 25553.9, 'lastTraded': None, 'bid': 25552.3}",2019:03:23-00:30:00,25553.1,25540.1,25587.1,25583.1
7,"{'ask': 25564.4, 'lastTraded': None, 'bid': 25562.8}","{'ask': 25584.4, 'lastTraded': None, 'bid': 25582.8}",1753,"{'ask': 25558.9, 'lastTraded': None, 'bid': 25557.3}","{'ask': 25583.4, 'lastTraded': None, 'bid': 25581.8}",2019:03:23-00:35:00,25582.6,25558.1,25583.6,25563.6
8,"{'ask': 25514.4, 'lastTraded': None, 'bid': 25512.8}","{'ask': 25564.9, 'lastTraded': None, 'bid': 25563.3}",3660,"{'ask': 25507.9, 'lastTraded': None, 'bid': 25506.3}","{'ask': 25564.9, 'lastTraded': None, 'bid': 25563.3}",2019:03:23-00:40:00,25564.1,25507.1,25564.1,25513.6
9,"{'ask': 25533.4, 'lastTraded': None, 'bid': 25531.8}","{'ask': 25543.9, 'lastTraded': None, 'bid': 25542.3}",2532,"{'ask': 25512.9, 'lastTraded': None, 'bid': 25511.3}","{'ask': 25514.9, 'lastTraded': None, 'bid': 25513.3}",2019:03:23-00:45:00,25514.1,25512.1,25543.1,25532.6
10,"{'ask': 25587.9, 'lastTraded': None, 'bid': 25586.3}","{'ask': 25589.4, 'lastTraded': None, 'bid': 25587.8}",3072,"{'ask': 25525.9, 'lastTraded': None, 'bid': 25524.3}","{'ask': 25532.9, 'lastTraded': None, 'bid': 25531.3}",2019:03:23-00:50:00,25532.1,25525.1,25588.6,25587.1
11,"{'ask': 25582.4, 'lastTraded': None, 'bid': 25580.8}","{'ask': 25587.4, 'lastTraded': None, 'bid': 25585.8}",2678,"{'ask': 25551.9, 'lastTraded': None, 'bid': 25550.3}","{'ask': 25587.4, 'lastTraded': None, 'bid': 25585.8}",2019:03:23-00:55:00,25586.6,25551.1,25586.6,25581.6
12,"{'ask': 25598.9, 'lastTraded': None, 'bid': 25597.3}","{'ask': 25618.9, 'lastTraded': None, 'bid': 25617.3}",2987,"{'ask': 25571.9, 'lastTraded': None, 'bid': 25570.3}","{'ask': 25581.9, 'lastTraded': None, 'bid': 25580.3}",2019:03:23-01:00:00,25581.1,25571.1,25618.1,25598.1
13,"{'ask': 25621.9, 'lastTraded': None, 'bid': 25620.3}","{'ask': 25623.9, 'lastTraded': None, 'bid': 25622.3}",1628,"{'ask': 25596.4, 'lastTraded': None, 'bid': 25594.8}","{'ask': 25599.9, 'lastTraded': None, 'bid': 25598.3}",2019:03:23-01:05:00,25599.1,25595.6,25623.1,25621.1
14,"{'ask': 25596.4, 'lastTraded': None, 'bid': 25594.8}","{'ask': 25621.9, 'lastTraded': None, 'bid': 25620.3}",1740,"{'ask': 25585.9, 'lastTraded': None, 'bid': 25584.3}","{'ask': 25620.9, 'lastTraded': None, 'bid': 25619.3}",2019:03:23-01:10:00,25620.1,25585.1,25621.1,25595.6
