,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'ask': 22460.3, 'lastTraded': None, 'bid': 22458.7}","{'ask': 22491.8, 'lastTraded': None, 'bid': 22490.2}",2592,"{'ask': 22428.3, 'lastTraded': None, 'bid': 22426.7}","{'ask': 22466.8, 'lastTraded': None, 'bid': 22465.2}",2018:12:28-00:00:00,22466.0,22427.5,22491.0,22459.5
1,"{'ask': 22456.8, 'lastTraded': None, 'bid': 22455.2}","{'ask': 22476.8, 'lastTraded': None, 'bid': 22475.2}",2367,"{'ask': 22428.8, 'lastTraded': None, 'bid': 22427.2}","{'ask': 22459.3, 'lastTraded': None, 'bid': 22457.7}",2018:12:28-00:05:00,22458.5,22428.0,22476.0,22456.0
2,"{'ask': 22467.3, 'lastTraded': None, 'bid': 22465.7}","{'ask': 22488.3, 'lastTraded': None, 'bid': 22486.7}",1677,"{'ask': 22438.8, 'lastTraded': None, 'bid': 22437.2}","{'ask': 22455.8, 'lastTraded': None, 'bid': 22454.2}",2018:12:28-00:10:00,22455.0,22438.0,22487.5,22466.5
3,"{'ask': 22531.8, 'lastTraded': None, 'bid': 22530.2}","{'ask': 22543.3, 'lastTraded': None, 'bid': 22541.7}",2538,"{'ask': 22461.8, 'lastTraded': None, 'bid': 22460.2}","{'ask': 22467.8, 'lastTraded': None, 'bid': 22466.2}",2018:12:28-00:15:00,22467.0,22461.0,22542.5,22531.0
4,"{'ask': 22546.3, 'lastTraded': None, 'bid': 22544.7}","{'ask': 22560.8, 'lastTraded': None, 'bid': 22559.2}",1934,"{'ask': 22516.8, 'lastTraded': None, 'bid': 22515.2}","{'ask': 22531.3, 'lastTraded': None, 'bid': 22529.7}",2018:12:28-00:20:00,22530.5,22516.0,22560.0,22545.5
5,"{'ask': 22609.8, 'lastTraded': None, 'bid': 22608.2}","{'ask': 22635.8, 'lastTraded': None, 'bid': 22634.2}",3850,"{'ask': 22541.8, 'lastTraded': None, 'bid': 22540.2}","{'ask': 22545.8, 'lastTraded': None, 'bid': 22544.2}",2018:12:28-00:25:00,22545.0,22541.0,22635.0,22609.0
6,"{'ask': 22618.3, 'lastTraded': None, 'bid': 22616.7}","{'ask': 22681.8, 'lastTraded': None, 'bid': 22680.2}",4038,"{'ask': 22608.8, 'lastTraded': None, 'bid': 22607.2}","{'ask': 22608.8, 'lastTraded': None, 'bid': 22607.2}",2018:12:28-00:30:00,22608.0,22608.0,22681.0,22617.5
7,"{'ask': 22599.8, 'lastTraded': None, 'bid': 22598.2}","{'ask': 22639.8, 'lastTraded': None, 'bid': 22638.2}",3596,"{'ask': 22582.3, 'lastTraded': None, 'bid': 22580.7}","{'ask': 22620.8, 'lastTraded': None, 'bid': 22619.2}",2018:12:28-00:35:00,22620.0,22581.5,22639.0,22599.0
8,"{'ask': 22527.3, 'lastTraded': None, 'bid': 22525.7}","{'ask': 22603.8, 'lastTraded': None, 'bid': 22602.2}",3476,"{'ask': 22527.3, 'lastTraded': None, 'bid': 22525.7}","{'ask': 22599.3, 'lastTraded': None, 'bid': 22597.7}",2018:12:28-00:40:00,22598.5,22526.5,22603.0,22526.5
9,"{'ask': 22517.8, 'lastTraded': None, 'bid': 22516.2}","{'ask': 22545.8, 'lastTraded': None, 'bid': 22544.2}",2003,"{'ask': 22506.3, 'lastTraded': None, 'bid': 22504.7}","{'ask': 22527.8, 'lastTraded': None, 'bid': 22526.2}",2018:12:28-00:45:00,22527.0,22505.5,22545.0,22517.0
10,"{'ask': 22531.8, 'lastTraded': None, 'bid': 22530.2}","{'ask': 22561.8, 'lastTraded': None, 'bid': 22560.2}",2101,"{'ask': 22514.8, 'lastTraded': None, 'bid': 22513.2}","{'ask': 22518.3, 'lastTraded': None, 'bid': 22516.7}",2018:12:28-00:50:00,22517.5,22514.0,22561.0,22531.0
11,"{'ask': 22577.3, 'lastTraded': None, 'bid': 22575.7}","{'ask': 22599.3, 'lastTraded': None, 'bid': 22597.7}",2706,"{'ask': 22512.8, 'lastTraded': None, 'bid': 22511.2}","{'ask': 22531.3, 'lastTraded': None, 'bid': 22529.7}",2018:12:28-00:55:00,22530.5,22512.0,22598.5,22576.5
12,"{'ask': 22505.8, 'lastTraded': None, 'bid': 22504.2}","{'ask': 22582.8, 'lastTraded': None, 'bid': 22581.2}",2171,"{'ask': 22504.8, 'lastTraded': None, 'bid': 22503.2}","{'ask': 22577.8, 'lastTraded': None, 'bid': 22576.2}",2018:12:28-01:00:00,22577.0,22504.0,22582.0,22505.0
13,"{'ask': 22516.8, 'lastTraded': None, 'bid': 22515.2}","{'ask': 22535.8, 'lastTraded': None, 'bid': 22534.2}",1959,"{'ask': 22489.8, 'lastTraded': None, 'bid': 22488.2}","{'ask': 22506.8, 'lastTraded': None, 'bid': 22505.2}",2018:12:28-01:05:00,22506.0,22489.0,22535.0,22516.0
14,"{'ask': 22507.8, 'lastTraded': None, 'bid': 22506.2}","{'ask': 22522.8, 'lastTraded': None, 'bid': 22521.2}",1257,"{'ask': 22493.8, 'lastTraded': None, 'bid': 22492.2}","{'ask': 22517.3, 'lastTraded': None, 'bid': 22515.7}",2018:12:28-01:10:00,22516.5,22493.0,22522.0,22507.0
15,"{'ask': 22557.8, 'lastTraded': None, 'bid': 22556.2}","{'ask': 22576.3, 'lastTraded': None, 'bid': 22574.7}",1726,"{'ask': 22506.8, 'lastTraded': None, 'bid': 22505.2}","{'ask': 22506.8, 'lastTraded': None, 'bid': 22505.2}",2018:12:28-01:15:00,22506.0,22506.0,22575.5,22557.0
16,"{'ask': 22550.8, 'lastTraded': None, 'bid': 22549.2}","{'ask': 22560.3, 'lastTraded': None, 'bid': 22558.7}",1197,"{'ask': 22520.8, 'lastTraded': None, 'bid': 22519.2}","{'ask': 22558.3, 'lastTraded': None, 'bid': 22556.7}",2018:12:28-01:20:00,22557.5,22520.0,22559.5,22550.0
17,"{'ask': 22451.8, 'lastTraded': None, 'bid': 22450.2}","{'ask': 22559.8, 'lastTraded': None, 'bid': 22558.2}",4768,"{'ask': 22416.8, 'lastTraded': None, 'bid': 22415.2}","{'ask': 22550.3, 'lastTraded': None, 'bid': 22548.7}",2018:12:28-01:25:00,22549.5,22416.0,22559.0,22451.0
18,"{'ask': 22461.3, 'lastTraded': None, 'bid': 22459.7}","{'ask': 22465.8, 'lastTraded': None, 'bid': 22464.2}",2390,"{'ask': 22426.8, 'lastTraded': None, 'bid': 22425.2}","{'ask': 22452.3, 'lastTraded': None, 'bid': 22450.7}",2018:12:28-01:30:00,22451.5,22426.0,22465.0,22460.5
19,"{'ask': 22463.8, 'lastTraded': None, 'bid': 22462.2}","{'ask': 22486.8, 'lastTraded': None, 'bid': 22485.2}",2073,"{'ask': 22437.8, 'lastTraded': None, 'bid': 22436.2}","{'ask': 22460.3, 'lastTraded': None, 'bid': 22458.7}",2018:12:28-01:35:00,22459.5,22437.0,22486.0,22463.0
20,"{'ask': 22450.3, 'lastTraded': None, 'bid': 22448.7}","{'ask': 22470.8, 'lastTraded': None, 'bid': 22469.2}",1651,"{'ask': 22420.3, 'lastTraded': None, 'bid': 22418.7}","{'ask': 22464.3, 'lastTraded': None, 'bid': 22462.7}",2018:12:28-01:40:00,22463.5,22419.5,22470.0,22449.5
21,"{'ask': 22475.8, 'lastTraded': None, 'bid': 22474.2}","{'ask': 22496.8, 'lastTraded': None, 'bid': 22495.2}",2471,"{'ask': 22429.8, 'lastTraded': None, 'bid': 22428.2}","{'ask': 22449.8, 'lastTraded': None, 'bid': 22448.2}",2018:12:28-01:45:00,22449.0,22429.0,22496.0,22475.0
22,"{'ask': 22525.8, 'lastTraded': None, 'bid': 22524.2}","{'ask': 22526.8, 'lastTraded': None, 'bid': 22525.2}",2373,"{'ask': 22453.3, 'lastTraded': None, 'bid': 22451.7}","{'ask': 22476.3, 'lastTraded': None, 'bid': 22474.7}",2018:12:28-01:50:00,22475.5,22452.5,22526.0,22525.0
23,"{'ask': 22516.8, 'lastTraded': None, 'bid': 22515.2}","{'ask': 22528.8, 'lastTraded': None, 'bid': 22527.2}",2164,"{'ask': 22484.8, 'lastTraded': None, 'bid': 22483.2}","{'ask': 22526.8, 'lastTraded': None, 'bid': 22525.2}",2018:12:28-01:55:00,22526.0,22484.0,22528.0,22516.0
24,"{'ask': 22494.8, 'lastTraded': None, 'bid': 22493.2}","{'ask': 22541.3, 'lastTraded': None, 'bid': 22539.7}",2066,"{'ask': 22479.3, 'lastTraded': None, 'bid': 22477.7}","{'ask': 22507.3, 'lastTraded': None, 'bid': 22505.7}",2018:12:28-02:00:00,22506.5,22478.5,22540.5,22494.0
25,"{'ask': 22522.8, 'lastTraded': None, 'bid': 22521.2}","{'ask': 22545.8, 'lastTraded': None, 'bid': 22544.2}",1924,"{'ask': 22492.3, 'lastTraded': None, 'bid': 22490.7}","{'ask': 22494.3, 'lastTraded': None, 'bid': 22492.7}",2018:12:28-02:05:00,22493.5,22491.5,22545.0,22522.0
26,"{'ask': 22515.8, 'lastTraded': None, 'bid': 22514.2}","{'ask': 22543.3, 'lastTraded': None, 'bid': 22541.7}",1939,"{'ask': 22487.8, 'lastTraded': None, 'bid': 22486.2}","{'ask': 22522.3, 'lastTraded': None, 'bid': 22520.7}",2018:12:28-02:10:00,22521.5,22487.0,22542.5,22515.0
27,"{'ask': 22487.8, 'lastTraded': None, 'bid': 22486.2}","{'ask': 22525.3, 'lastTraded': None, 'bid': 22523.7}",1696,"{'ask': 22475.3, 'lastTraded': None, 'bid': 22473.7}","{'ask': 22516.3, 'lastTraded': None, 'bid': 22514.7}",2018:12:28-02:15:00,22515.5,22474.5,22524.5,22487.0
28,"{'ask': 22464.8, 'lastTraded': None, 'bid': 22463.2}","{'ask': 22488.8, 'lastTraded': None, 'bid': 22487.2}",1341,"{'ask': 22452.8, 'lastTraded': None, 'bid': 22451.2}","{'ask': 22488.3, 'lastTraded': None, 'bid': 22486.7}",2018:12:28-02:20:00,22487.5,22452.0,22488.0,22464.0
29,"{'ask': 22439.8, 'lastTraded': None, 'bid': 22438.2}","{'ask': 22490.8, 'lastTraded': None, 'bid': 22489.2}",2034,"{'ask': 22434.8, 'lastTraded': None, 'bid': 22433.2}","{'ask': 22464.3, 'lastTraded': None, 'bid': 22462.7}",2018:12:28-02:25:00,22463.5,22434.0,22490.0,22439.0
30,"{'ask': 22464.8, 'lastTraded': None, 'bid': 22463.2}","{'ask': 22470.8, 'lastTraded': None, 'bid': 22469.2}",1226,"{'ask': 22432.8, 'lastTraded': None, 'bid': 22431.2}","{'ask': 22439.3, 'lastTraded': None, 'bid': 22437.7}",2018:12:28-02:30:00,22438.5,22432.0,22470.0,22464.0
31,"{'ask': 22437.3, 'lastTraded': None, 'bid': 22435.7}","{'ask': 22465.8, 'lastTraded': None, 'bid': 22464.2}",1335,"{'ask': 22436.3, 'lastTraded': None, 'bid': 22434.7}","{'ask': 22465.3, 'lastTraded': None, 'bid': 22463.7}",2018:12:28-02:35:00,22464.5,22435.5,22465.0,22436.5
32,"{'ask': 22442.7, 'lastTraded': None, 'bid': 22441.1}","{'ask': 22452.7, 'lastTraded': None, 'bid': 22451.1}",917,"{'ask': 22430.2, 'lastTraded': None, 'bid': 22428.6}","{'ask': 22437.2, 'lastTraded': None, 'bid': 22435.6}",2018:12:28-02:40:00,22436.4,22429.4,22451.9,22441.9
33,"{'ask': 22363.2, 'lastTraded': None, 'bid': 22361.6}","{'ask': 22444.7, 'lastTraded': None, 'bid': 22443.1}",3961,"{'ask': 22353.7, 'lastTraded': None, 'bid': 22352.1}","{'ask': 22442.2, 'lastTraded': None, 'bid': 22440.6}",2018:12:28-02:45:00,22441.4,22352.9,22443.9,22362.4
34,"{'ask': 22328.2, 'lastTraded': None, 'bid': 22326.6}","{'ask': 22375.7, 'lastTraded': None, 'bid': 22374.1}",2847,"{'ask': 22325.7, 'lastTraded': None, 'bid': 22324.1}","{'ask': 22362.7, 'lastTraded': None, 'bid': 22361.1}",2018:12:28-02:50:00,22361.9,22324.9,22374.9,22327.4
35,"{'ask': 22355.7, 'lastTraded': None, 'bid': 22354.1}","{'ask': 22370.2, 'lastTraded': None, 'bid': 22368.6}",1727,"{'ask': 22325.7, 'lastTraded': None, 'bid': 22324.1}","{'ask': 22328.7, 'lastTraded': None, 'bid': 22327.1}",2018:12:28-02:55:00,22327.9,22324.9,22369.4,22354.9
36,"{'ask': 22360.7, 'lastTraded': None, 'bid': 22359.1}","{'ask': 22365.2, 'lastTraded': None, 'bid': 22363.6}",2798,"{'ask': 22315.2, 'lastTraded': None, 'bid': 22313.6}","{'ask': 22356.2, 'lastTraded': None, 'bid': 22354.6}",2018:12:28-03:00:00,22355.4,22314.4,22364.4,22359.9
37,"{'ask': 22315.7, 'lastTraded': None, 'bid': 22314.1}","{'ask': 22381.7, 'lastTraded': None, 'bid': 22380.1}",2784,"{'ask': 22312.7, 'lastTraded': None, 'bid': 22311.1}","{'ask': 22360.2, 'lastTraded': None, 'bid': 22358.6}",2018:12:28-03:05:00,22359.4,22311.9,22380.9,22314.9
38,"{'ask': 22310.7, 'lastTraded': None, 'bid': 22309.1}","{'ask': 22334.2, 'lastTraded': None, 'bid': 22332.6}",2022,"{'ask': 22299.7, 'lastTraded': None, 'bid': 22298.1}","{'ask': 22315.2, 'lastTraded': None, 'bid': 22313.6}",2018:12:28-03:10:00,22314.4,22298.9,22333.4,22309.9
39,"{'ask': 22279.7, 'lastTraded': None, 'bid': 22278.1}","{'ask': 22309.7, 'lastTraded': None, 'bid': 22308.1}",3660,"{'ask': 22265.7, 'lastTraded': None, 'bid': 22264.1}","{'ask': 22309.7, 'lastTraded': None, 'bid': 22308.1}",2018:12:28-03:15:00,22308.9,22264.9,22308.9,22278.9
40,"{'ask': 22292.7, 'lastTraded': None, 'bid': 22291.1}","{'ask': 22312.2, 'lastTraded': None, 'bid': 22310.6}",1918,"{'ask': 22266.7, 'lastTraded': None, 'bid': 22265.1}","{'ask': 22279.2, 'lastTraded': None, 'bid': 22277.6}",2018:12:28-03:20:00,22278.4,22265.9,22311.4,22291.9
41,"{'ask': 22325.7, 'lastTraded': None, 'bid': 22324.1}","{'ask': 22328.7, 'lastTraded': None, 'bid': 22327.1}",1891,"{'ask': 22267.7, 'lastTraded': None, 'bid': 22266.1}","{'ask': 22292.2, 'lastTraded': None, 'bid': 22290.6}",2018:12:28-03:25:00,22291.4,22266.9,22327.9,22324.9
42,"{'ask': 22307.7, 'lastTraded': None, 'bid': 22306.1}","{'ask': 22327.2, 'lastTraded': None, 'bid': 22325.6}",1700,"{'ask': 22284.7, 'lastTraded': None, 'bid': 22283.1}","{'ask': 22324.7, 'lastTraded': None, 'bid': 22323.1}",2018:12:28-03:30:00,22323.9,22283.9,22326.4,22306.9
43,"{'ask': 22352.7, 'lastTraded': None, 'bid': 22351.1}","{'ask': 22360.7, 'lastTraded': None, 'bid': 22359.1}",2421,"{'ask': 22297.2, 'lastTraded': None, 'bid': 22295.6}","{'ask': 22307.2, 'lastTraded': None, 'bid': 22305.6}",2018:12:28-03:35:00,22306.4,22296.4,22359.9,22351.9
44,"{'ask': 22477.2, 'lastTraded': None, 'bid': 22475.6}","{'ask': 22491.7, 'lastTraded': None, 'bid': 22490.1}",3870,"{'ask': 22350.2, 'lastTraded': None, 'bid': 22348.6}","{'ask': 22351.7, 'lastTraded': None, 'bid': 22350.1}",2018:12:28-03:40:00,22350.9,22349.4,22490.9,22476.4
45,"{'ask': 22445.7, 'lastTraded': None, 'bid': 22444.1}","{'ask': 22495.2, 'lastTraded': None, 'bid': 22493.6}",2816,"{'ask': 22416.7, 'lastTraded': None, 'bid': 22415.1}","{'ask': 22478.7, 'lastTraded': None, 'bid': 22477.1}",2018:12:28-03:45:00,22477.9,22415.9,22494.4,22444.9
46,"{'ask': 22523.7, 'lastTraded': None, 'bid': 22522.1}","{'ask': 22563.7, 'lastTraded': None, 'bid': 22562.1}",3798,"{'ask': 22423.2, 'lastTraded': None, 'bid': 22421.6}","{'ask': 22445.2, 'lastTraded': None, 'bid': 22443.6}",2018:12:28-03:50:00,22444.4,22422.4,22562.9,22522.9
47,"{'ask': 22547.7, 'lastTraded': None, 'bid': 22546.1}","{'ask': 22547.7, 'lastTraded': None, 'bid': 22546.1}",1907,"{'ask': 22490.7, 'lastTraded': None, 'bid': 22489.1}","{'ask': 22522.7, 'lastTraded': None, 'bid': 22521.1}",2018:12:28-03:55:00,22521.9,22489.9,22546.9,22546.9
48,"{'ask': 22508.7, 'lastTraded': None, 'bid': 22507.1}","{'ask': 22554.7, 'lastTraded': None, 'bid': 22553.1}",2376,"{'ask': 22462.7, 'lastTraded': None, 'bid': 22461.1}","{'ask': 22548.2, 'lastTraded': None, 'bid': 22546.6}",2018:12:28-04:00:00,22547.4,22461.9,22553.9,22507.9
49,"{'ask': 22531.7, 'lastTraded': None, 'bid': 22530.1}","{'ask': 22548.7, 'lastTraded': None, 'bid': 22547.1}",1914,"{'ask': 22473.2, 'lastTraded': None, 'bid': 22471.6}","{'ask': 22508.2, 'lastTraded': None, 'bid': 22506.6}",2018:12:28-04:05:00,22507.4,22472.4,22547.9,22530.9
50,"{'ask': 22635.2, 'lastTraded': None, 'bid': 22633.6}","{'ask': 22639.7, 'lastTraded': None, 'bid': 22638.1}",4620,"{'ask': 22499.7, 'lastTraded': None, 'bid': 22498.1}","{'ask': 22533.7, 'lastTraded': None, 'bid': 22532.1}",2018:12:28-04:10:00,22532.9,22498.9,22638.9,22634.4
51,"{'ask': 22606.7, 'lastTraded': None, 'bid': 22605.1}","{'ask': 22642.2, 'lastTraded': None, 'bid': 22640.6}",1420,"{'ask': 22592.7, 'lastTraded': None, 'bid': 22591.1}","{'ask': 22634.2, 'lastTraded': None, 'bid': 22632.6}",2018:12:28-04:15:00,22633.4,22591.9,22641.4,22605.9
52,"{'ask': 22734.7, 'lastTraded': None, 'bid': 22733.1}","{'ask': 22734.7, 'lastTraded': None, 'bid': 22733.1}",3360,"{'ask': 22607.7, 'lastTraded': None, 'bid': 22606.1}","{'ask': 22607.7, 'lastTraded': None, 'bid': 22606.1}",2018:12:28-04:20:00,22606.9,22606.9,22733.9,22733.9
53,"{'ask': 22798.2, 'lastTraded': None, 'bid': 22796.6}","{'ask': 22820.7, 'lastTraded': None, 'bid': 22819.1}",4624,"{'ask': 22702.7, 'lastTraded': None, 'bid': 22701.1}","{'ask': 22734.2, 'lastTraded': None, 'bid': 22732.6}",2018:12:28-04:25:00,22733.4,22701.9,22819.9,22797.4
54,"{'ask': 22825.3, 'lastTraded': None, 'bid': 22823.7}","{'ask': 22844.3, 'lastTraded': None, 'bid': 22842.7}",4364,"{'ask': 22737.8, 'lastTraded': None, 'bid': 22736.2}","{'ask': 22799.2, 'lastTraded': None, 'bid': 22797.6}",2018:12:28-04:30:00,22798.4,22737.0,22843.5,22824.5
55,"{'ask': 22907.3, 'lastTraded': None, 'bid': 22905.7}","{'ask': 22930.3, 'lastTraded': None, 'bid': 22928.7}",5111,"{'ask': 22819.8, 'lastTraded': None, 'bid': 22818.2}","{'ask': 22824.3, 'lastTraded': None, 'bid': 22822.7}",2018:12:28-04:35:00,22823.5,22819.0,22929.5,22906.5
56,"{'ask': 23038.3, 'lastTraded': None, 'bid': 23036.7}","{'ask': 23076.3, 'lastTraded': None, 'bid': 23074.7}",6116,"{'ask': 22908.3, 'lastTraded': None, 'bid': 22906.7}","{'ask': 22908.3, 'lastTraded': None, 'bid': 22906.7}",2018:12:28-04:40:00,22907.5,22907.5,23075.5,23037.5
57,"{'ask': 23006.8, 'lastTraded': None, 'bid': 23005.2}","{'ask': 23050.3, 'lastTraded': None, 'bid': 23048.7}",3977,"{'ask': 22954.3, 'lastTraded': None, 'bid': 22952.7}","{'ask': 23038.8, 'lastTraded': None, 'bid': 23037.2}",2018:12:28-04:45:00,23038.0,22953.5,23049.5,23006.0
