,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'ask': 25845.6, 'lastTraded': None, 'bid': 25844.0}","{'ask': 25852.6, 'lastTraded': None, 'bid': 25851.0}",1978,"{'ask': 25834.6, 'lastTraded': None, 'bid': 25833.0}","{'ask': 25834.6, 'lastTraded': None, 'bid': 25833.0}",2019:02:20-00:00:00,25833.8,25833.8,25851.8,25844.8
1,"{'ask': 25857.1, 'lastTraded': None, 'bid': 25855.5}","{'ask': 25860.1, 'lastTraded': None, 'bid': 25858.5}",1833,"{'ask': 25839.6, 'lastTraded': None, 'bid': 25838.0}","{'ask': 25846.1, 'lastTraded': None, 'bid': 25844.5}",2019:02:20-00:05:00,25845.3,25838.8,25859.3,25856.3
2,"{'ask': 25870.1, 'lastTraded': None, 'bid': 25868.5}","{'ask': 25870.6, 'lastTraded': None, 'bid': 25869.0}",1458,"{'ask': 25846.6, 'lastTraded': None, 'bid': 25845.0}","{'ask': 25857.6, 'lastTraded': None, 'bid': 25856.0}",2019:02:20-00:10:00,25856.8,25845.8,25869.8,25869.3
3,"{'ask': 25864.6, 'lastTraded': None, 'bid': 25863.0}","{'ask': 25874.6, 'lastTraded': None, 'bid': 25873.0}",1381,"{'ask': 25859.6, 'lastTraded': None, 'bid': 25858.0}","{'ask': 25870.6, 'lastTraded': None, 'bid': 25869.0}",2019:02:20-00:15:00,25869.8,25858.8,25873.8,25863.8
4,"{'ask': 25857.1, 'lastTraded': None, 'bid': 25855.5}","{'ask': 25866.6, 'lastTraded': None, 'bid': 25865.0}",943,"{'ask': 25855.6, 'lastTraded': None, 'bid': 25854.0}","{'ask': 25865.1, 'lastTraded': None, 'bid': 25863.5}",2019:02:20-00:20:00,25864.3,25854.8,25865.8,25856.3
5,"{'ask': 25851.1, 'lastTraded': None, 'bid': 25849.5}","{'ask': 25857.6, 'lastTraded': None, 'bid': 25856.0}",1510,"{'ask': 25842.6, 'lastTraded': None, 'bid': 25841.0}","{'ask': 25856.6, 'lastTraded': None, 'bid': 25855.0}",2019:02:20-00:25:00,25855.8,25841.8,25856.8,25850.3
6,"{'ask': 25856.1, 'lastTraded': None, 'bid': 25854.5}","{'ask': 25860.1, 'lastTraded': None, 'bid': 25858.5}",927,"{'ask': 25848.1, 'lastTraded': None, 'bid': 25846.5}","{'ask': 25850.6, 'lastTraded': None, 'bid': 25849.0}",2019:02:20-00:30:00,25849.8,25847.3,25859.3,25855.3
7,"{'ask': 25870.6, 'lastTraded': None, 'bid': 25869.0}","{'ask': 25886.6, 'lastTraded': None, 'bid': 25885.0}",2232,"{'ask': 25856.6, 'lastTraded': None, 'bid': 25855.0}","{'ask': 25856.6, 'lastTraded': None, 'bid': 25855.0}",2019:02:20-00:35:00,25855.8,25855.8,25885.8,25869.8
8,"{'ask': 25879.6, 'lastTraded': None, 'bid': 25878.0}","{'ask': 25882.1, 'lastTraded': None, 'bid': 25880.5}",799,"{'ask': 25868.6, 'lastTraded': None, 'bid': 25867.0}","{'ask': 25871.6, 'lastTraded': None, 'bid': 25870.0}",2019:02:20-00:40:00,25870.8,25867.8,25881.3,25878.8
9,"{'ask': 25910.6, 'lastTraded': None, 'bid': 25909.0}","{'ask': 25921.6, 'lastTraded': None, 'bid': 25920.0}",3968,"{'ask': 25880.6, 'lastTraded': None, 'bid': 25879.0}","{'ask': 25880.6, 'lastTraded': None, 'bid': 25879.0}",2019:02:20-00:45:00,25879.8,25879.8,25920.8,25909.8
10,"{'ask': 25915.1, 'lastTraded': None, 'bid': 25913.5}","{'ask': 25917.1, 'lastTraded': None, 'bid': 25915.5}",2142,"{'ask': 25899.6, 'lastTraded': None, 'bid': 25898.0}","{'ask': 25909.6, 'lastTraded': None, 'bid': 25908.0}",2019:02:20-00:50:00,25908.8,25898.8,25916.3,25914.3
11,"{'ask': 25938.1, 'lastTraded': None, 'bid': 25936.5}","{'ask': 25940.1, 'lastTraded': None, 'bid': 25938.5}",1909,"{'ask': 25912.6, 'lastTraded': None, 'bid': 25911.0}","{'ask': 25915.6, 'lastTraded': None, 'bid': 25914.0}",2019:02:20-00:55:00,25914.8,25911.8,25939.3,25937.3
12,"{'ask': 25920.6, 'lastTraded': None, 'bid': 25919.0}","{'ask': 25939.6, 'lastTraded': None, 'bid': 25938.0}",1701,"{'ask': 25912.6, 'lastTraded': None, 'bid': 25911.0}","{'ask': 25937.6, 'lastTraded': None, 'bid': 25936.0}",2019:02:20-01:00:00,25936.8,25911.8,25938.8,25919.8
13,"{'ask': 25917.1, 'lastTraded': None, 'bid': 25915.5}","{'ask': 25925.6, 'lastTraded': None, 'bid': 25924.0}",716,"{'ask': 25914.6, 'lastTraded': None, 'bid': 25913.0}","{'ask': 25920.1, 'lastTraded': None, 'bid': 25918.5}",2019:02:20-01:05:00,25919.3,25913.8,25924.8,25916.3
