,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'bid': 23666.8, 'lastTraded': None, 'ask': 23668.4}","{'bid': 23672.3, 'lastTraded': None, 'ask': 23673.9}",3343,"{'bid': 23613.3, 'lastTraded': None, 'ask': 23614.9}","{'bid': 23616.8, 'lastTraded': None, 'ask': 23618.4}",2019:01:09-00:00:00,23617.6,23614.1,23673.1,23667.6
1,"{'bid': 23686.3, 'lastTraded': None, 'ask': 23687.9}","{'bid': 23704.3, 'lastTraded': None, 'ask': 23705.9}",2874,"{'bid': 23654.3, 'lastTraded': None, 'ask': 23655.9}","{'bid': 23667.3, 'lastTraded': None, 'ask': 23668.9}",2019:01:09-00:05:00,23668.1,23655.1,23705.1,23687.1
2,"{'bid': 23654.3, 'lastTraded': None, 'ask': 23655.9}","{'bid': 23687.3, 'lastTraded': None, 'ask': 23688.9}",2525,"{'bid': 23643.8, 'lastTraded': None, 'ask': 23645.4}","{'bid': 23686.8, 'lastTraded': None, 'ask': 23688.4}",2019:01:09-00:10:00,23687.6,23644.6,23688.1,23655.1
3,"{'bid': 23684.3, 'lastTraded': None, 'ask': 23685.9}","{'bid': 23702.3, 'lastTraded': None, 'ask': 23703.9}",2518,"{'bid': 23647.3, 'lastTraded': None, 'ask': 23648.9}","{'bid': 23654.8, 'lastTraded': None, 'ask': 23656.4}",2019:01:09-00:15:00,23655.6,23648.1,23703.1,23685.1
4,"{'bid': 23676.8, 'lastTraded': None, 'ask': 23678.4}","{'bid': 23691.3, 'lastTraded': None, 'ask': 23692.9}",1748,"{'bid': 23659.3, 'lastTraded': None, 'ask': 23660.9}","{'bid': 23683.8, 'lastTraded': None, 'ask': 23685.4}",2019:01:09-00:20:00,23684.6,23660.1,23692.1,23677.6
5,"{'bid': 23654.8, 'lastTraded': None, 'ask': 23656.4}","{'bid': 23691.8, 'lastTraded': None, 'ask': 23693.4}",2309,"{'bid': 23652.3, 'lastTraded': None, 'ask': 23653.9}","{'bid': 23677.3, 'lastTraded': None, 'ask': 23678.9}",2019:01:09-00:25:00,23678.1,23653.1,23692.6,23655.6
6,"{'bid': 23608.8, 'lastTraded': None, 'ask': 23610.4}","{'bid': 23657.3, 'lastTraded': None, 'ask': 23658.9}",4662,"{'bid': 23600.3, 'lastTraded': None, 'ask': 23601.9}","{'bid': 23657.3, 'lastTraded': None, 'ask': 23658.9}",2019:01:09-00:30:00,23658.1,23601.1,23658.1,23609.6
7,"{'bid': 23623.3, 'lastTraded': None, 'ask': 23624.9}","{'bid': 23626.3, 'lastTraded': None, 'ask': 23627.9}",1804,"{'bid': 23596.3, 'lastTraded': None, 'ask': 23597.9}","{'bid': 23608.3, 'lastTraded': None, 'ask': 23609.9}",2019:01:09-00:35:00,23609.1,23597.1,23627.1,23624.1
8,"{'bid': 23611.3, 'lastTraded': None, 'ask': 23612.9}","{'bid': 23636.3, 'lastTraded': None, 'ask': 23637.9}",1903,"{'bid': 23601.3, 'lastTraded': None, 'ask': 23602.9}","{'bid': 23623.8, 'lastTraded': None, 'ask': 23625.4}",2019:01:09-00:40:00,23624.6,23602.1,23637.1,23612.1
9,"{'bid': 23634.8, 'lastTraded': None, 'ask': 23636.4}","{'bid': 23641.8, 'lastTraded': None, 'ask': 23643.4}",1721,"{'bid': 23609.3, 'lastTraded': None, 'ask': 23610.9}","{'bid': 23610.3, 'lastTraded': None, 'ask': 23611.9}",2019:01:09-00:45:00,23611.1,23610.1,23642.6,23635.6
10,"{'bid': 23639.8, 'lastTraded': None, 'ask': 23641.4}","{'bid': 23646.3, 'lastTraded': None, 'ask': 23647.9}",1406,"{'bid': 23614.3, 'lastTraded': None, 'ask': 23615.9}","{'bid': 23635.3, 'lastTraded': None, 'ask': 23636.9}",2019:01:09-00:50:00,23636.1,23615.1,23647.1,23640.6
11,"{'bid': 23683.3, 'lastTraded': None, 'ask': 23684.9}","{'bid': 23690.8, 'lastTraded': None, 'ask': 23692.4}",2382,"{'bid': 23640.3, 'lastTraded': None, 'ask': 23641.9}","{'bid': 23640.3, 'lastTraded': None, 'ask': 23641.9}",2019:01:09-00:55:00,23641.1,23641.1,23691.6,23684.1
12,"{'bid': 23695.8, 'lastTraded': None, 'ask': 23697.4}","{'bid': 23696.3, 'lastTraded': None, 'ask': 23697.9}",2259,"{'bid': 23666.3, 'lastTraded': None, 'ask': 23667.9}","{'bid': 23683.8, 'lastTraded': None, 'ask': 23685.4}",2019:01:09-01:00:00,23684.6,23667.1,23697.1,23696.6
13,"{'bid': 23686.3, 'lastTraded': None, 'ask': 23687.9}","{'bid': 23697.3, 'lastTraded': None, 'ask': 23698.9}",1208,"{'bid': 23673.3, 'lastTraded': None, 'ask': 23674.9}","{'bid': 23695.3, 'lastTraded': None, 'ask': 23696.9}",2019:01:09-01:05:00,23696.1,23674.1,23698.1,23687.1
