,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'ask': 21750.6, 'lastTraded': None, 'bid': 21746.8}","{'ask': 21771.6, 'lastTraded': None, 'bid': 21767.8}",530,"{'ask': 21705.1, 'lastTraded': None, 'bid': 21695.3}","{'ask': 21705.1, 'lastTraded': None, 'bid': 21695.3}",2018:12:26-07:00:00,21700.2,21700.2,21769.7,21748.7
1,"{'ask': 21484.1, 'lastTraded': None, 'bid': 21480.3}","{'ask': 21751.1, 'lastTraded': None, 'bid': 21747.3}",1516,"{'ask': 21456.6, 'lastTraded': None, 'bid': 21452.8}","{'ask': 21751.1, 'lastTraded': None, 'bid': 21747.3}",2018:12:26-07:05:00,21749.2,21454.7,21749.2,21482.2
2,"{'ask': 21535.6, 'lastTraded': None, 'bid': 21531.8}","{'ask': 21592.6, 'lastTraded': None, 'bid': 21588.8}",1155,"{'ask': 21458.6, 'lastTraded': None, 'bid': 21454.8}","{'ask': 21484.6, 'lastTraded': None, 'bid': 21480.8}",2018:12:26-07:10:00,21482.7,21456.7,21590.7,21533.7
3,"{'ask': 21658.1, 'lastTraded': None, 'bid': 21654.3}","{'ask': 21663.6, 'lastTraded': None, 'bid': 21659.8}",806,"{'ask': 21537.1, 'lastTraded': None, 'bid': 21533.3}","{'ask': 21537.1, 'lastTraded': None, 'bid': 21533.3}",2018:12:26-07:15:00,21535.2,21535.2,21661.7,21656.2
4,"{'ask': 21623.6, 'lastTraded': None, 'bid': 21619.8}","{'ask': 21667.6, 'lastTraded': None, 'bid': 21663.8}",279,"{'ask': 21618.1, 'lastTraded': None, 'bid': 21614.3}","{'ask': 21664.1, 'lastTraded': None, 'bid': 21660.3}",2018:12:26-07:20:00,21662.2,21616.2,21665.7,21621.7
5,"{'ask': 21618.6, 'lastTraded': None, 'bid': 21614.8}","{'ask': 21666.6, 'lastTraded': None, 'bid': 21662.8}",384,"{'ask': 21612.6, 'lastTraded': None, 'bid': 21608.8}","{'ask': 21624.1, 'lastTraded': None, 'bid': 21620.3}",2018:12:26-07:25:00,21622.2,21610.7,21664.7,21616.7
6,"{'ask': 21678.1, 'lastTraded': None, 'bid': 21674.3}","{'ask': 21699.1, 'lastTraded': None, 'bid': 21695.3}",632,"{'ask': 21600.6, 'lastTraded': None, 'bid': 21596.8}","{'ask': 21619.1, 'lastTraded': None, 'bid': 21615.3}",2018:12:26-07:30:00,21617.2,21598.7,21697.2,21676.2
7,"{'ask': 21675.1, 'lastTraded': None, 'bid': 21671.3}","{'ask': 21686.6, 'lastTraded': None, 'bid': 21682.8}",292,"{'ask': 21646.1, 'lastTraded': None, 'bid': 21642.3}","{'ask': 21678.6, 'lastTraded': None, 'bid': 21674.8}",2018:12:26-07:35:00,21676.7,21644.2,21684.7,21673.2
8,"{'ask': 21694.1, 'lastTraded': None, 'bid': 21690.3}","{'ask': 21696.6, 'lastTraded': None, 'bid': 21692.8}",201,"{'ask': 21660.6, 'lastTraded': None, 'bid': 21656.8}","{'ask': 21675.6, 'lastTraded': None, 'bid': 21671.8}",2018:12:26-07:40:00,21673.7,21658.7,21694.7,21692.2
9,"{'ask': 21699.1, 'lastTraded': None, 'bid': 21695.3}","{'ask': 21715.6, 'lastTraded': None, 'bid': 21711.8}",286,"{'ask': 21690.1, 'lastTraded': None, 'bid': 21686.3}","{'ask': 21694.6, 'lastTraded': None, 'bid': 21690.8}",2018:12:26-07:45:00,21692.7,21688.2,21713.7,21697.2
