,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'lastTraded': None, 'bid': 23911.1, 'ask': 23914.9}","{'lastTraded': None, 'bid': 23936.6, 'ask': 23940.4}",659,"{'lastTraded': None, 'bid': 23901.1, 'ask': 23904.9}","{'lastTraded': None, 'bid': 23931.1, 'ask': 23934.9}",2019:01:14-07:00:00,23933,23903,23938.5,23913
1,"{'lastTraded': None, 'bid': 23906.1, 'ask': 23909.9}","{'lastTraded': None, 'bid': 23916.6, 'ask': 23920.4}",303,"{'lastTraded': None, 'bid': 23901.1, 'ask': 23904.9}","{'lastTraded': None, 'bid': 23909.1, 'ask': 23912.9}",2019:01:14-07:05:00,23911,23903,23918.5,23908
2,"{'lastTraded': None, 'bid': 23912.1, 'ask': 23915.9}","{'lastTraded': None, 'bid': 23918.1, 'ask': 23921.9}",157,"{'lastTraded': None, 'bid': 23902.6, 'ask': 23906.4}","{'lastTraded': None, 'bid': 23907.6, 'ask': 23911.4}",2019:01:14-07:10:00,23909.5,23904.5,23920,23914
3,"{'lastTraded': None, 'bid': 23919.1, 'ask': 23922.9}","{'lastTraded': None, 'bid': 23920.1, 'ask': 23923.9}",132,"{'lastTraded': None, 'bid': 23909.6, 'ask': 23913.4}","{'lastTraded': None, 'bid': 23911.6, 'ask': 23915.4}",2019:01:14-07:15:00,23913.5,23911.5,23922,23921
4,"{'lastTraded': None, 'bid': 23911.1, 'ask': 23914.9}","{'lastTraded': None, 'bid': 23922.6, 'ask': 23926.4}",171,"{'lastTraded': None, 'bid': 23910.6, 'ask': 23914.4}","{'lastTraded': None, 'bid': 23920.1, 'ask': 23923.9}",2019:01:14-07:20:00,23922,23912.5,23924.5,23913
5,"{'lastTraded': None, 'bid': 23897.6, 'ask': 23901.4}","{'lastTraded': None, 'bid': 23915.1, 'ask': 23918.9}",225,"{'lastTraded': None, 'bid': 23894.6, 'ask': 23898.4}","{'lastTraded': None, 'bid': 23911.6, 'ask': 23915.4}",2019:01:14-07:25:00,23913.5,23896.5,23917,23899.5
6,"{'lastTraded': None, 'bid': 23905.1, 'ask': 23908.9}","{'lastTraded': None, 'bid': 23914.6, 'ask': 23918.4}",196,"{'lastTraded': None, 'bid': 23896.1, 'ask': 23899.9}","{'lastTraded': None, 'bid': 23898.1, 'ask': 23901.9}",2019:01:14-07:30:00,23900,23898,23916.5,23907
7,"{'lastTraded': None, 'bid': 23904.6, 'ask': 23908.4}","{'lastTraded': None, 'bid': 23909.1, 'ask': 23912.9}",72,"{'lastTraded': None, 'bid': 23903.6, 'ask': 23907.4}","{'lastTraded': None, 'bid': 23906.1, 'ask': 23909.9}",2019:01:14-07:35:00,23908,23905.5,23911,23906.5
8,"{'lastTraded': None, 'bid': 23903.1, 'ask': 23906.9}","{'lastTraded': None, 'bid': 23906.1, 'ask': 23909.9}",71,"{'lastTraded': None, 'bid': 23902.1, 'ask': 23905.9}","{'lastTraded': None, 'bid': 23904.1, 'ask': 23907.9}",2019:01:14-07:40:00,23906,23904,23908,23905
9,"{'lastTraded': None, 'bid': 23904.1, 'ask': 23907.9}","{'lastTraded': None, 'bid': 23907.6, 'ask': 23911.4}",84,"{'lastTraded': None, 'bid': 23901.1, 'ask': 23904.9}","{'lastTraded': None, 'bid': 23902.6, 'ask': 23906.4}",2019:01:14-07:45:00,23904.5,23903,23909.5,23906
10,"{'lastTraded': None, 'bid': 23902.1, 'ask': 23905.9}","{'lastTraded': None, 'bid': 23906.1, 'ask': 23909.9}",50,"{'lastTraded': None, 'bid': 23902.1, 'ask': 23905.9}","{'lastTraded': None, 'bid': 23904.6, 'ask': 23908.4}",2019:01:14-07:50:00,23906.5,23904,23908,23904
11,"{'lastTraded': None, 'bid': 23876.1, 'ask': 23879.9}","{'lastTraded': None, 'bid': 23904.1, 'ask': 23907.9}",292,"{'lastTraded': None, 'bid': 23875.1, 'ask': 23878.9}","{'lastTraded': None, 'bid': 23903.1, 'ask': 23906.9}",2019:01:14-07:55:00,23905,23877,23906,23878
12,"{'lastTraded': None, 'bid': 23880.1, 'ask': 23883.9}","{'lastTraded': None, 'bid': 23888.1, 'ask': 23891.9}",414,"{'lastTraded': None, 'bid': 23874.6, 'ask': 23878.4}","{'lastTraded': None, 'bid': 23876.6, 'ask': 23880.4}",2019:01:14-08:00:00,23878.5,23876.5,23890,23882
13,"{'lastTraded': None, 'bid': 23880.1, 'ask': 23883.9}","{'lastTraded': None, 'bid': 23883.1, 'ask': 23886.9}",221,"{'lastTraded': None, 'bid': 23868.6, 'ask': 23872.4}","{'lastTraded': None, 'bid': 23879.1, 'ask': 23882.9}",2019:01:14-08:05:00,23881,23870.5,23885,23882
14,"{'lastTraded': None, 'bid': 23887.6, 'ask': 23891.4}","{'lastTraded': None, 'bid': 23896.6, 'ask': 23900.4}",298,"{'lastTraded': None, 'bid': 23880.1, 'ask': 23883.9}","{'lastTraded': None, 'bid': 23880.6, 'ask': 23884.4}",2019:01:14-08:10:00,23882.5,23882,23898.5,23889.5
15,"{'lastTraded': None, 'bid': 23878.1, 'ask': 23881.9}","{'lastTraded': None, 'bid': 23888.1, 'ask': 23891.9}",184,"{'lastTraded': None, 'bid': 23877.6, 'ask': 23881.4}","{'lastTraded': None, 'bid': 23887.1, 'ask': 23890.9}",2019:01:14-08:15:00,23889,23879.5,23890,23880
16,"{'lastTraded': None, 'bid': 23884.1, 'ask': 23887.9}","{'lastTraded': None, 'bid': 23889.6, 'ask': 23893.4}",238,"{'lastTraded': None, 'bid': 23869.6, 'ask': 23873.4}","{'lastTraded': None, 'bid': 23877.6, 'ask': 23881.4}",2019:01:14-08:20:00,23879.5,23871.5,23891.5,23886
17,"{'lastTraded': None, 'bid': 23887.1, 'ask': 23890.9}","{'lastTraded': None, 'bid': 23888.1, 'ask': 23891.9}",84,"{'lastTraded': None, 'bid': 23881.1, 'ask': 23884.9}","{'lastTraded': None, 'bid': 23884.6, 'ask': 23888.4}",2019:01:14-08:25:00,23886.5,23883,23890,23889
18,"{'lastTraded': None, 'bid': 23889.1, 'ask': 23892.9}","{'lastTraded': None, 'bid': 23898.1, 'ask': 23901.9}",231,"{'lastTraded': None, 'bid': 23887.6, 'ask': 23891.4}","{'lastTraded': None, 'bid': 23888.1, 'ask': 23891.9}",2019:01:14-08:30:00,23890,23889.5,23900,23891
19,"{'lastTraded': None, 'bid': 23884.1, 'ask': 23887.9}","{'lastTraded': None, 'bid': 23892.1, 'ask': 23895.9}",65,"{'lastTraded': None, 'bid': 23881.1, 'ask': 23884.9}","{'lastTraded': None, 'bid': 23888.6, 'ask': 23892.4}",2019:01:14-08:35:00,23890.5,23883,23894,23886
20,"{'lastTraded': None, 'bid': 23881.6, 'ask': 23885.4}","{'lastTraded': None, 'bid': 23887.1, 'ask': 23890.9}",79,"{'lastTraded': None, 'bid': 23881.1, 'ask': 23884.9}","{'lastTraded': None, 'bid': 23883.6, 'ask': 23887.4}",2019:01:14-08:40:00,23885.5,23883,23889,23883.5
