,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'ask': 25867.2, 'bid': 25865.6, 'lastTraded': None}","{'ask': 25878.7, 'bid': 25877.1, 'lastTraded': None}",886,"{'ask': 25864.7, 'bid': 25863.1, 'lastTraded': None}","{'ask': 25873.2, 'bid': 25871.6, 'lastTraded': None}",2019:03:30-00:00:00,25872.4,25863.9,25877.9,25866.4
1,"{'ask': 25867.7, 'bid': 25866.1, 'lastTraded': None}","{'ask': 25868.7, 'bid': 25867.1, 'lastTraded': None}",811,"{'ask': 25857.2, 'bid': 25855.6, 'lastTraded': None}","{'ask': 25866.7, 'bid': 25865.1, 'lastTraded': None}",2019:03:30-00:05:00,25865.9,25856.4,25867.9,25866.9
2,"{'ask': 25857.7, 'bid': 25856.1, 'lastTraded': None}","{'ask': 25869.2, 'bid': 25867.6, 'lastTraded': None}",711,"{'ask': 25855.7, 'bid': 25854.1, 'lastTraded': None}","{'ask': 25868.2, 'bid': 25866.6, 'lastTraded': None}",2019:03:30-00:10:00,25867.4,25854.9,25868.4,25856.9
3,"{'ask': 25852.7, 'bid': 25851.1, 'lastTraded': None}","{'ask': 25861.7, 'bid': 25860.1, 'lastTraded': None}",1046,"{'ask': 25847.7, 'bid': 25846.1, 'lastTraded': None}","{'ask': 25857.2, 'bid': 25855.6, 'lastTraded': None}",2019:03:30-00:15:00,25856.4,25846.9,25860.9,25851.9
4,"{'ask': 25859.2, 'bid': 25857.6, 'lastTraded': None}","{'ask': 25862.7, 'bid': 25861.1, 'lastTraded': None}",1275,"{'ask': 25834.7, 'bid': 25833.1, 'lastTraded': None}","{'ask': 25851.7, 'bid': 25850.1, 'lastTraded': None}",2019:03:30-00:20:00,25850.9,25833.9,25861.9,25858.4
5,"{'ask': 25865.2, 'bid': 25863.6, 'lastTraded': None}","{'ask': 25868.2, 'bid': 25866.6, 'lastTraded': None}",558,"{'ask': 25855.7, 'bid': 25854.1, 'lastTraded': None}","{'ask': 25858.7, 'bid': 25857.1, 'lastTraded': None}",2019:03:30-00:25:00,25857.9,25854.9,25867.4,25864.4
6,"{'ask': 25848.7, 'bid': 25847.1, 'lastTraded': None}","{'ask': 25864.7, 'bid': 25863.1, 'lastTraded': None}",762,"{'ask': 25848.2, 'bid': 25846.6, 'lastTraded': None}","{'ask': 25864.7, 'bid': 25863.1, 'lastTraded': None}",2019:03:30-00:30:00,25863.9,25847.4,25863.9,25847.9
7,"{'ask': 25856.7, 'bid': 25855.1, 'lastTraded': None}","{'ask': 25857.7, 'bid': 25856.1, 'lastTraded': None}",562,"{'ask': 25842.2, 'bid': 25840.6, 'lastTraded': None}","{'ask': 25849.7, 'bid': 25848.1, 'lastTraded': None}",2019:03:30-00:35:00,25848.9,25841.4,25856.9,25855.9
8,"{'ask': 25874.7, 'bid': 25873.1, 'lastTraded': None}","{'ask': 25875.7, 'bid': 25874.1, 'lastTraded': None}",808,"{'ask': 25853.7, 'bid': 25852.1, 'lastTraded': None}","{'ask': 25856.2, 'bid': 25854.6, 'lastTraded': None}",2019:03:30-00:40:00,25855.4,25852.9,25874.9,25873.9
9,"{'ask': 25865.2, 'bid': 25863.6, 'lastTraded': None}","{'ask': 25875.2, 'bid': 25873.6, 'lastTraded': None}",897,"{'ask': 25854.2, 'bid': 25852.6, 'lastTraded': None}","{'ask': 25874.2, 'bid': 25872.6, 'lastTraded': None}",2019:03:30-00:45:00,25873.4,25853.4,25874.4,25864.4
10,"{'ask': 25867.8, 'bid': 25866.2, 'lastTraded': None}","{'ask': 25871.3, 'bid': 25869.7, 'lastTraded': None}",660,"{'ask': 25860.2, 'bid': 25858.6, 'lastTraded': None}","{'ask': 25865.7, 'bid': 25864.1, 'lastTraded': None}",2019:03:30-00:50:00,25864.9,25859.4,25870.5,25867.0
11,"{'ask': 25865.3, 'bid': 25863.7, 'lastTraded': None}","{'ask': 25872.3, 'bid': 25870.7, 'lastTraded': None}",589,"{'ask': 25859.3, 'bid': 25857.7, 'lastTraded': None}","{'ask': 25868.3, 'bid': 25866.7, 'lastTraded': None}",2019:03:30-00:55:00,25867.5,25858.5,25871.5,25864.5
12,"{'ask': 25880.3, 'bid': 25878.7, 'lastTraded': None}","{'ask': 25881.3, 'bid': 25879.7, 'lastTraded': None}",1121,"{'ask': 25860.3, 'bid': 25858.7, 'lastTraded': None}","{'ask': 25865.8, 'bid': 25864.2, 'lastTraded': None}",2019:03:30-01:00:00,25865.0,25859.5,25880.5,25879.5
13,"{'ask': 25876.8, 'bid': 25875.2, 'lastTraded': None}","{'ask': 25882.3, 'bid': 25880.7, 'lastTraded': None}",790,"{'ask': 25873.3, 'bid': 25871.7, 'lastTraded': None}","{'ask': 25879.3, 'bid': 25877.7, 'lastTraded': None}",2019:03:30-01:05:00,25878.5,25872.5,25881.5,25876.0
