,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'bid': 23897.2, 'ask': 23898.8, 'lastTraded': None}","{'bid': 23910.2, 'ask': 23911.8, 'lastTraded': None}",1701,"{'bid': 23872.2, 'ask': 23873.8, 'lastTraded': None}","{'bid': 23895.2, 'ask': 23896.8, 'lastTraded': None}",2019:01:15-00:00:00,23896.0,23873.0,23911.0,23898.0
1,"{'bid': 23875.2, 'ask': 23876.8, 'lastTraded': None}","{'bid': 23898.7, 'ask': 23900.3, 'lastTraded': None}",1342,"{'bid': 23867.2, 'ask': 23868.8, 'lastTraded': None}","{'bid': 23896.7, 'ask': 23898.3, 'lastTraded': None}",2019:01:15-00:05:00,23897.5,23868.0,23899.5,23876.0
2,"{'bid': 23875.7, 'ask': 23877.3, 'lastTraded': None}","{'bid': 23882.2, 'ask': 23883.8, 'lastTraded': None}",1335,"{'bid': 23859.2, 'ask': 23860.8, 'lastTraded': None}","{'bid': 23875.7, 'ask': 23877.3, 'lastTraded': None}",2019:01:15-00:10:00,23876.5,23860.0,23883.0,23876.5
3,"{'bid': 23849.2, 'ask': 23850.8, 'lastTraded': None}","{'bid': 23890.2, 'ask': 23891.8, 'lastTraded': None}",1889,"{'bid': 23845.7, 'ask': 23847.3, 'lastTraded': None}","{'bid': 23875.2, 'ask': 23876.8, 'lastTraded': None}",2019:01:15-00:15:00,23876.0,23846.5,23891.0,23850.0
4,"{'bid': 23864.2, 'ask': 23865.8, 'lastTraded': None}","{'bid': 23870.2, 'ask': 23871.8, 'lastTraded': None}",1206,"{'bid': 23842.2, 'ask': 23843.8, 'lastTraded': None}","{'bid': 23847.7, 'ask': 23849.3, 'lastTraded': None}",2019:01:15-00:20:00,23848.5,23843.0,23871.0,23865.0
5,"{'bid': 23865.7, 'ask': 23867.3, 'lastTraded': None}","{'bid': 23872.2, 'ask': 23873.8, 'lastTraded': None}",1014,"{'bid': 23855.2, 'ask': 23856.8, 'lastTraded': None}","{'bid': 23863.7, 'ask': 23865.3, 'lastTraded': None}",2019:01:15-00:25:00,23864.5,23856.0,23873.0,23866.5
6,"{'bid': 23886.2, 'ask': 23887.8, 'lastTraded': None}","{'bid': 23895.7, 'ask': 23897.3, 'lastTraded': None}",1553,"{'bid': 23854.2, 'ask': 23855.8, 'lastTraded': None}","{'bid': 23867.2, 'ask': 23868.8, 'lastTraded': None}",2019:01:15-00:30:00,23868.0,23855.0,23896.5,23887.0
7,"{'bid': 23906.2, 'ask': 23907.8, 'lastTraded': None}","{'bid': 23912.2, 'ask': 23913.8, 'lastTraded': None}",1205,"{'bid': 23884.2, 'ask': 23885.8, 'lastTraded': None}","{'bid': 23886.7, 'ask': 23888.3, 'lastTraded': None}",2019:01:15-00:35:00,23887.5,23885.0,23913.0,23907.0
8,"{'bid': 23911.2, 'ask': 23912.8, 'lastTraded': None}","{'bid': 23918.2, 'ask': 23919.8, 'lastTraded': None}",1389,"{'bid': 23901.2, 'ask': 23902.8, 'lastTraded': None}","{'bid': 23905.7, 'ask': 23907.3, 'lastTraded': None}",2019:01:15-00:40:00,23906.5,23902.0,23919.0,23912.0
9,"{'bid': 23899.2, 'ask': 23900.8, 'lastTraded': None}","{'bid': 23914.2, 'ask': 23915.8, 'lastTraded': None}",1166,"{'bid': 23894.7, 'ask': 23896.3, 'lastTraded': None}","{'bid': 23912.2, 'ask': 23913.8, 'lastTraded': None}",2019:01:15-00:45:00,23913.0,23895.5,23915.0,23900.0
10,"{'bid': 23887.2, 'ask': 23888.8, 'lastTraded': None}","{'bid': 23910.2, 'ask': 23911.8, 'lastTraded': None}",3093,"{'bid': 23874.2, 'ask': 23875.8, 'lastTraded': None}","{'bid': 23899.7, 'ask': 23901.3, 'lastTraded': None}",2019:01:15-00:50:00,23900.5,23875.0,23911.0,23888.0
11,"{'bid': 23894.7, 'ask': 23896.3, 'lastTraded': None}","{'bid': 23898.7, 'ask': 23900.3, 'lastTraded': None}",932,"{'bid': 23885.2, 'ask': 23886.8, 'lastTraded': None}","{'bid': 23888.2, 'ask': 23889.8, 'lastTraded': None}",2019:01:15-00:55:00,23889.0,23886.0,23899.5,23895.5
12,"{'bid': 23891.2, 'ask': 23892.8, 'lastTraded': None}","{'bid': 23899.2, 'ask': 23900.8, 'lastTraded': None}",675,"{'bid': 23884.2, 'ask': 23885.8, 'lastTraded': None}","{'bid': 23895.2, 'ask': 23896.8, 'lastTraded': None}",2019:01:15-01:00:00,23896.0,23885.0,23900.0,23892.0
13,"{'bid': 23900.2, 'ask': 23901.8, 'lastTraded': None}","{'bid': 23904.7, 'ask': 23906.3, 'lastTraded': None}",871,"{'bid': 23877.2, 'ask': 23878.8, 'lastTraded': None}","{'bid': 23892.2, 'ask': 23893.8, 'lastTraded': None}",2019:01:15-01:05:00,23893.0,23878.0,23905.5,23901.0
14,"{'bid': 23917.2, 'ask': 23918.8, 'lastTraded': None}","{'bid': 23918.2, 'ask': 23919.8, 'lastTraded': None}",773,"{'bid': 23895.7, 'ask': 23897.3, 'lastTraded': None}","{'bid': 23899.7, 'ask': 23901.3, 'lastTraded': None}",2019:01:15-01:10:00,23900.5,23896.5,23919.0,23918.0
15,"{'bid': 23944.7, 'ask': 23946.3, 'lastTraded': None}","{'bid': 23951.7, 'ask': 23953.3, 'lastTraded': None}",2392,"{'bid': 23915.2, 'ask': 23916.8, 'lastTraded': None}","{'bid': 23917.7, 'ask': 23919.3, 'lastTraded': None}",2019:01:15-01:15:00,23918.5,23916.0,23952.5,23945.5
